# 14_Procurement Plan (70 rows)
Template 8A — Procurement Plan Header and Items |  |  |  |  |  |  |  |  |  |  |  |  |  | 
The parent plan controls fiscal cycle, release and totals. Every child item maps to an approved budget line and retains demand/strategy links; project outcomes route to PMO when ready. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Plan Header | PPL-001 | Procurement Plan ID | procurement_plan_id | Unique procurement plan header identifier. | ID / String | {MTR}-PPL-FY | Yes | After budget approval | System | System | Unique for Master ID/fiscal cycle/version | Generated when approved budget is released for procurement planning. | Procurement items and reporting | Internal
Plan Header | PPL-002 | Approved Budget Submission ID | budget_submission_id | CTO-approved budget baseline authorizing the plan. | Reference | Budget Submission ID | Yes | After budget approval | Workflow | System | Status = Approved/Approved with Conditions; effective date reached | Loads approved lines and release conditions. | Budget and procurement items | Internal
Plan Header | PPL-003 | Plan Title | procurement_plan_title | Official procurement plan title. | Text | 250 chars | Yes | Procurement plan | System suggestion/manual | Commercial & Budgeting | Unique within fiscal cycle; 5–250 characters | Displayed in plan reporting and exports. | Dashboard | Internal
Plan Header | PPL-004 | Procurement Cycle / Fiscal Year | procurement_cycle | Planning cycle and fiscal year represented by the plan. | Structured Period | Cycle code + YYYY | Yes | Procurement plan | Budget submission | System | Must match approved budget horizon/open cycle | Filters plan items and reporting. | Dashboard | Internal
Plan Header | PPL-005 | Strategy ID | strategy_id | Associated approved strategy for the strategic route. | Reference | Strategy ID | Conditional | Strategic route | Budget/strategy | System | Same Master Traceability ID | Provides strategy-level plan roll-up. | BSC | Internal
Plan Header | PPL-006 | Plan Owner | procurement_plan_owner_user_id | Commercial & Budgeting owner accountable for plan completeness and execution. | User Reference | Directory ID | Yes | Procurement plan | Assignment | Commercial & Budgeting | Active authorized user | Receives plan-level tasks and escalations. | Workflow | Confidential
Plan Header | PPL-007 | Plan Start Date | plan_start_date | Planned start of procurement execution. | Date | yyyy-mm-dd | Yes | Procurement plan | Budget effective date/default | Commercial & Budgeting | On/after approved budget effective date | Bounds item planned dates. | Dashboard | Internal
Plan Header | PPL-008 | Plan End Date | plan_end_date | Planned completion of all procurement items. | Date | yyyy-mm-dd | Yes | Procurement plan | Latest item/default | Commercial & Budgeting | >= plan start; within approved horizon or justified | Bounds item planned completion dates. | Dashboard | Internal
Plan Header | PPL-009 | Plan Status | procurement_plan_status | Current plan-level status. | Enum | Draft; Ready for Execution; In Execution; At Risk; Completed; Cancelled; Superseded | Yes | Procurement plan | Draft | Commercial & Budgeting/Workflow | Valid transition; exceptions require reason | Derived from release state and item statuses where configured. | Dashboard | Internal
Plan Header | PPL-010 | Plan Version | procurement_plan_version | Controlled version of the plan. | Integer | 1..n | Yes | Procurement plan | 1 | System | Increments on controlled revision | Released versions remain auditable; changes create revision. | Audit | Internal
