# 18_Evidence Comments (23 rows)
Template 11 — Attachments, Evidence and Threaded Comments |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Generic evidence and comment structures used by every stage, including return findings, document expiry and controlled resolution. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Attachment | ATT-001 | Attachment ID | attachment_id | Unique file/evidence record. | ID / String | {EntityID}-ATT-00 | Yes | Any attachment | System | System | Unique | Metadata record remains even when superseded. | All templates | Internal
Attachment | ATT-002 | Linked Entity Type / ID | linked_entity | Business record to which evidence belongs. | Polymorphic Reference | Entity type + ID | Yes | Any attachment | Context | System | Entity exists and user has access | Enforces record-level security. | Audit | Internal
Attachment | ATT-003 | Document Type | document_type | Governed type such as strategy, quote, approval, scope, contract or acceptance. | Reference | Document taxonomy | Yes | Any attachment | Manual/default | Uploader | Allowed for entity/stage | Mandatory-document checks use type. | Workflow | Internal
Attachment | ATT-004 | File Name | file_name | Original user-visible name. | Text | 255 chars | Yes | Any attachment | Upload | System | Safe characters; extension required | Displayed in record. | Audit | Internal
Attachment | ATT-005 | File Version | file_version | Document version label/sequence. | Text/Integer | 50 chars | Yes | Controlled document | 1 | Uploader/System | Increments on replacement | Earlier versions retained. | Audit | Internal
Attachment | ATT-006 | File Type / MIME | mime_type | Technical file type. | Text | MIME type | Yes | Any attachment | Upload service | System | Allowed list | Controls preview and scanning. | Security | Internal
Attachment | ATT-007 | File Size | file_size_bytes | Stored file size. | Integer | Bytes | Yes | Any attachment | Upload service | System | Within configured limit | Capacity and validation. | Operations | Internal
Attachment | ATT-008 | Checksum | file_checksum | Hash proving file integrity. | String | SHA-256 | Yes | Any attachment | Upload service | System | Unique hash check where configured | Integrity and duplicate detection. | Security | Restricted
Attachment | ATT-009 | Virus Scan Status | virus_scan_status | Security scan disposition. | Enum | Pending; Clean; Quarantined; Failed | Yes | Any attachment | Security service | System | Only Clean is usable | Quarantined files blocked. | Security | Restricted
Attachment | ATT-010 | Attachment Classification | attachment_classification | Data classification of file. | Enum | Public; Internal; Confidential; Restricted | Yes | Any attachment | Parent/default | Uploader/Data Owner | Cannot be less restrictive than content policy | Controls download/share. | Security | Internal
Attachment | ATT-011 | Effective / Expiry Dates | attachment_effective_expiry | Validity period for quote, contract, policy or approval. | Structured Date | Start + end | Conditional | Time-bound document | Manual/source | Uploader/Owner | Expiry >= effective | Flags expired evidence. | Workflow | Internal
Attachment | ATT-012 | Uploaded By / At | uploaded_by_at | Uploader identity and timestamp. | Structured Audit | User + UTC DateTime | Yes | Any attachment | System | System | Authenticated action | Immutable audit data. | Audit | Confidential
Comment | COM-001 | Comment ID | comment_id | Unique discussion entry. | ID / String | {EntityID}-COM-000 | Yes | Any comment | System | System | Unique | Append-only with edit history if editing allowed. | Workflow | Internal
Comment | COM-002 | Linked Entity / Field | linked_entity_field | Record and optional field to which comment relates. | Structured Reference | Entity ID + field ID | Yes | Any comment | Context | System | Entity/field exists | Supports targeted return findings. | Workflow | Internal
Comment | COM-003 | Comment Type | comment_type | Purpose of comment. | Enum | General; Clarification; Validation Finding; Return Instruction; Approval Comment; System Note | Yes | Any comment | Manual/default | Author/System | Configured list | Controls visibility and resolution requirement. | Workflow | Internal
Comment | COM-004 | Comment Text | comment_text | User/system message. | Long Text | 3,000 chars | Yes | Any comment | Manual/system | Author/System | No executable content; minimum length for findings | Stored with author/time. | Audit | Confidential
Comment | COM-005 | Parent Comment ID | parent_comment_id | Parent in a threaded discussion. | Reference | Comment ID | No | Reply | Context | System | Same linked entity | Creates thread hierarchy. | Workflow | Internal
Comment | COM-006 | Resolution Status | resolution_status | Whether a finding/comment is resolved. | Enum | Open; Responded; Resolved; Reopened; Not Applicable | Yes | Finding/comment | Open | Authorized author/owner/validator | Resolution evidence required for finding | Blocking findings must be Resolved before submission. | Workflow | Internal
Comment | COM-007 | Assigned To / Due Date | comment_assignment | Person and deadline responsible for response. | Structured Reference | User + date | Conditional | Actionable finding | Manual | Validator/Approver | Active user; due date >= created date | Creates task/reminders. | Workflow | Confidential
Comment | COM-008 | Resolved By / At / Evidence | comment_resolution | Resolution audit and supporting evidence. | Structured Audit | User + UTC DateTime + attachment | Conditional | Resolved | System/manual | Assignee/Validator | Validator may reopen | Locks resolution event history. | Audit | Confidential
