# 19_One-Page Report (37 rows)
One-Page Phase Report / Power BI Specification |  |  |  |  |  |  |  |  | 
Required report content, metric definitions, data sources, visuals, filter behavior and refresh/control expectations. |  |  |  |  |  |  |  |  | 
Report Section | Metric / Element | Technical Name | Definition / Calculation | Primary Source | Recommended Visual | Applicability | Drill-through / Filter | Refresh | Control / Display Rule
Report Header | Reporting Period | reporting_period | Current selected month/quarter/fiscal year | Calendar filter | Header subtitle | Required | All visuals | Daily refresh recommended | Displays as-of and last refresh timestamp
Report Header | Master Traceability ID | master_trace_id | Selected case ID or All | Shared Fields | Header/filter | Required | Cross-page drill-through | Near real-time | Primary navigation key
Report Header | Entry Route | entry_route | Strategic vs Non-strategic/Ad hoc | Shared Fields | Header/filter | Required | All visuals | Near real-time | Ad-hoc items must remain visibly separated
Report Header | Strategy / Demand Title | display_title | Selected strategy title or demand title | Strategy/Demand | Header | Required | Selection context | Near real-time | No ambiguous truncation in exported one-pager
Report Header | Owner | record_owner | Current accountable owner | Shared Fields | Header/filter | Required | All visuals | Near real-time | Row-level security applies
Report Header | Overall Phase Status | overall_phase_status | Derived status of pre-initiation case | Workflow | KPI card | Required | Current stage and overdue exceptions | Near real-time | Worst blocking/overdue condition overrides normal On Track
Report Header | Current Stage | current_stage | Latest valid workflow stage | Shared Fields | KPI card | Required | Stage timeline | Near real-time | For parallel tasks show both open branches
Report Header | Days in Phase | days_in_phase | Current date/time minus Master Trace creation | Shared Fields | KPI card | Required | Cycle time | Daily | Use business or calendar basis consistently and label it
Report Header | Next Required Action | next_action | Oldest/highest-priority open task | Workflow tasks | Callout | Required | Action owner | Near real-time | Show owner and due date
Strategy | Strategy Approval Status | strategy_approval_status | Latest G-S1 decision/status | Approval Transaction | KPI card | Strategic only | Strategy section | Near real-time | Non-strategic route shows Not Applicable
Strategy | Strategy Approval Date | strategy_approval_date | Date latest strategy baseline approved | Approval Transaction | Text/KPI | Strategic only | Strategy section | Near real-time | Link to approved version
Strategy | Overall Strategy Score | overall_strategy_score | Weighted BSC score | Balanced Scorecard | Gauge/bullet/KPI | Strategic only | Perspective drill-down | Per reporting cycle | Display target 100 and RAG threshold
Strategy | Objective Performance | objective_performance | Score and RAG by objective | Balanced Scorecard | Compact bar/table | Strategic only | Objective drill-through | Per reporting cycle | Show top underperforming objectives
Strategy | KPI Achievement | kpi_achievement | Validated KPI count/percent meeting target | KPI Updates | KPI + small chart | Strategic only | KPI drill-through | Per reporting cycle | Exclude unvalidated KPI values and show missing data count
Demand | Demand Count | demand_count | Distinct active demands | Demand | KPI card | Required | Demand table | Near real-time | Segment by route/status/business unit
Demand | Validated Demand Count | validated_demand_count | Distinct demands validated for budget | Demand | KPI card | Required | Validation detail | Near real-time | Decision in Validated/Validated with Conditions
Demand | Demand Status Distribution | demand_status_distribution | Count/value by demand status | Demand/Budget Lines | Stacked bar | Required | Demand drill-through | Near real-time | Avoid double-counting versions
Demand | Top Pending Validations | pending_demand_validations | Oldest/overdue demands awaiting validation | Demand/Workflow | Exception table | Required | Validation queue | Near real-time | Top 5 by overdue days/priority
Budget | Total Requested SAR | budget_requested_sar | Sum active requested budget lines | Budget Lines | KPI card | Required | Budget detail | Near real-time | Current budget version only
Budget | Total Recommended SAR | budget_recommended_sar | Sum recommended amount | Budget Lines | KPI card | Required | Budget detail | Near real-time | Current submitted/approved version
Budget | Total Approved SAR | budget_approved_sar | Sum CTO-approved amount | Budget Lines | KPI card | Required | Budget detail | Near real-time | Approved baseline only
