# 01_Process Stages (16 rows)
Pre-Initiation Process — Stage and Gate Logic |  |  |  |  |  |  |  |  |  | 
Authoritative workflow sequence for the POC. SLA values are configuration parameters because no organizational SLA was supplied. |  |  |  |  |  |  |  |  |  | 
Stage ID | Stage / Gate | Primary Owner | Entry Trigger | Required Inputs | Outputs | Approval / Control | Next Step / Return Path | Status Values | Target SLA | Critical Rule
PI-00 | Process Start | System | User selects Strategic or Non-strategic / Ad hoc route | User identity, route, owning unit | Master Traceability ID and initial record | None | Strategic → PI-01; Non-strategic → PI-04 | Open | Immediate | Master ID is immutable after creation
PI-01 | Develop Technology Strategy | Strategy & Governance | Strategic route selected or strategy returned | Strategy context, themes, objectives, KPIs, BSC, budget envelope | Complete strategy package | Completeness and data-quality checks | G-S1 | Draft / Returned / Submitted | Configurable | Objectives and KPI definitions must exist before submission
G-S1 | CTO Strategy Approval | CTO | Strategy submitted | Locked strategy version | Approved strategy baseline or revision request | CTO decision | Approved → PI-02 and PI-04 in parallel; Returned → PI-01 | Pending / Approved / Returned | Configurable | Comments mandatory when returned; approved version becomes read-only
PI-02 | Develop Budget Envelope | Commercial & Budgeting | Strategy approved | Approved strategy, demand forecast, prior commitments | Draft budget header and lines | Commercial & Budgeting validation | PI-05 after demand validation | Draft / In Preparation | Configurable | Runs in parallel with business demand submission
PI-04 | Submit Demand / Business Case | Business Team | Strategy approved or non-strategic route created | Problem, outcomes, requirements, options, costs, benefits, risks | Submitted demand/business case | Business Owner submission | PI-05 | Draft / Submitted / Returned | Configurable | Non-strategic requests must include ad-hoc justification
PI-05 | Budget Validation of Demand | Commercial & Budgeting | Demand submitted | Demand, cost estimate, budget line mapping | Validated demand, budget recommendation, validation findings | Commercial & Budgeting validation | Validated → PI-06; Returned → PI-04 | Under Validation / Validated / Returned | Configurable | No demand enters consolidation with unresolved blocking findings
PI-06 | Consolidate Budget | Commercial & Budgeting | Planning cut-off reached and demands validated | Validated demands, budget lines, funding ceilings | Consolidated budget submission | Reconciliation and ceiling checks | G-B1 | Consolidating / Submitted | Configurable | All included lines reconcile to demand and strategy/ad-hoc totals
G-B1 | CTO Budget Approval | CTO | Consolidated budget submitted | Locked budget version and management summary | Approved budget baseline or revision request | CTO decision | Approved → PI-07; Returned → PI-02/PI-04/PI-06 as assigned | Pending / Approved / Returned | Configurable | Return decision must identify affected lines and return owner
PI-07 | Prepare Procurement Plan | Commercial & Budgeting | Budget approved | Approved demand and budget lines | Procurement plan header and executable items | Funding and sourcing readiness checks | PI-08 | Planned / Ready for Execution | Configurable | Every item maps to an approved budget line
PI-08 | Execute Procurement Plan | Commercial & Budgeting | Procurement item released | Procurement item, sourcing route, approvals | PR/PO/contract/delivery milestones and outcome | Milestone/status validation | Project outcome → PI-09; other items → PI-10 | In Execution / Completed / Cancelled | Per plan dates | Historical status updates are append-only
PI-09 | Register Project | PMO | Procurement item marked Project and execution threshold met | Demand, procurement outcome, approved budget, project data | Registered project and next-phase reference | PMO readiness validation | PI-10 and next lifecycle phase | Pending Registration / Registered / Returned | Configurable | Project inherits Master Traceability ID and receives Project ID
PI-10 | Update Strategy and BSC | Platform | Any approved budget, procurement or project update | Objectives, KPIs, budgets, procurement/project progress | Updated scores, RAG status and contribution measures | Automated calculation plus owner validation | PI-11 | Current | Near real-time or daily | Non-strategic items are reported separately unless later linked
PI-11 | One-Page Phase Report | Platform / Power BI | Scheduled refresh or user request | All approved/current records | Executive one-page status view | Reconciliation checks | Ongoing | Published | Daily recommended | Must reconcile to source entity totals and retain as-of timestamp
