# 13_Budget Consolidation (28 rows)
Template 7C — Budget Consolidation and CTO Decision Pack |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Consolidation checks, portfolio cuts, recommendations and return allocation. A returned budget may route selected records to the appropriate revision owner. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | CON-001 | Consolidation ID | consolidation_id | Unique consolidation record for a budget version. | ID / String | {BUD}-CON-01 | Yes | Budget submission | System | System | Unique budget version | Generated when consolidation begins. | CTO decision pack | Internal
Scope | CON-002 | Included Business Units | included_business_units | Units included in consolidated budget. | Multi Reference | Organization IDs | Yes | Consolidation | System/manual | Commercial & Budgeting | All expected units included or exception documented | Completeness control. | Approval | Internal
Scope | CON-003 | Included Demand Count | included_demand_count | Distinct validated demands included. | Integer | #,##0 | No | Consolidation | System derived | System | Distinct IDs | Management summary. | Dashboard | Internal
Scope | CON-004 | Excluded / Deferred Demand Count | excluded_demand_count | Validated demands excluded/deferred. | Integer | #,##0 | No | Consolidation | System derived | System | Distinct IDs | Management summary. | Dashboard | Internal
Value | CON-005 | Requested Amount | requested_amount_sar | Total requested value. | Currency | SAR #,##0 | No | Consolidation | Budget header | System | Reconciles to lines | Approval summary. | Dashboard | Confidential
Value | CON-006 | Recommended Amount | recommended_amount_sar | Total funding recommendation. | Currency | SAR #,##0 | No | Consolidation | Budget header | System | Reconciles to line recommendations | Approval summary. | Dashboard | Confidential
Value | CON-007 | Funding Ceiling | funding_ceiling_sar | Available ceiling. | Currency | SAR #,##0 | Yes | Consolidation | Budget header | System | Source/effective date | Gap calculation. | Approval | Confidential
Value | CON-008 | Funding Gap | funding_gap_sar | Recommended less ceiling. | Currency | SAR #,##0 | No | Consolidation | System derived | System | Reconciles to header | Positive value requires decision. | Approval | Confidential
Analysis | CON-009 | Strategic vs Ad-hoc Mix | strategic_adhoc_mix | Value/count split by route. | Structured Metric | Value and % | No | Consolidation | System derived | System | Totals reconcile | Decision support. | Dashboard | Confidential
Analysis | CON-010 | CAPEX vs OPEX Mix | capex_opex_mix | Value and percentage split. | Structured Metric | Value and % | No | Consolidation | System derived | System | Totals reconcile | Decision support. | Dashboard | Confidential
Analysis | CON-011 | New vs Existing Commitment Mix | commitment_mix | New, existing, renewal and run-cost split. | Structured Metric | Value and % | No | Consolidation | System derived | System | Totals reconcile | Affordability analysis. | Dashboard | Confidential
Analysis | CON-012 | Multi-Year Commitment Profile | multi_year_commitment_profile | Approved/recommended costs by fiscal year. | Structured Metric | FY + value | No | Consolidation | System derived | System | Lines/phasing reconcile | Future affordability. | Approval | Confidential
Analysis | CON-013 | Priority Distribution | priority_distribution | Demand count/value by priority band. | Structured Metric | Band + count + value | No | Consolidation | System derived | System | Demand scores available | Trade-off analysis. | Approval | Internal
Control | CON-014 | Demand-to-Line Reconciliation | demand_line_reconciliation | All included demand costs map to line(s) and vice versa. | Enum | Pass; Fail | Yes | Before CTO submission | System check | System | Pass required | Returns orphan and duplicate details. | Submission control | Internal
Control | CON-015 | Line-to-Phasing Reconciliation | line_phasing_reconciliation | Line totals equal phasing totals. | Enum | Pass; Fail | Yes | Before CTO submission | System check | System | Pass required | Returns differences by line. | Submission control | Internal
Control | CON-016 | Accounting Dimensions Check | accounting_dimensions_check | All included lines have valid posting dimensions. | Enum | Pass; Warning; Fail | Yes | Before CTO submission | System/Finance | Commercial & Budgeting | Fail blocks submission | SAP readiness. | Submission control | Internal
