# 12_Budget Lines (60 rows)
Template 7B — Detailed Budget Lines and Tracking |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Atomic, auditable cost records with accounting dimensions, multi-currency conversion, phasing, recommendation, approval and execution tracking. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | BLN-001 | Budget Line ID | budget_line_id | Unique atomic budget line. | ID / String | {BUD}-BLN-000 | Yes | Budget line | System | System | Unique | Generated on line creation. | Procurement item and reporting | Internal
Identity | BLN-002 | Budget Submission ID | budget_submission_id | Parent budget version. | Reference | Budget ID | Yes | Budget line | Parent | System | Same cycle/version | Foreign-key enforced. | Consolidation | Internal
Identity | BLN-003 | Demand ID | demand_id | Validated demand funded by line. | Reference | Demand ID | Yes | Budget line | Manual/derived | Commercial & Budgeting | Demand decision = Validated/Validated with Conditions | No orphan budget line. | Demand/procurement | Internal
Identity | BLN-004 | Strategy / Objective IDs | strategy_objective_ids | Strategic links inherited from demand. | Multi Reference | Strategy/Objective IDs | Conditional | Strategic demand | Demand | System | Cannot differ from demand without approved remap | Strategy budget tracking. | BSC | Internal
Description | BLN-005 | Budget Line Description | line_description | Specific cost item to be funded. | Text | 500 chars | Yes | Budget line | Manual | Commercial & Budgeting | Specific, non-duplicative | Used in procurement scope. | Procurement | Confidential
Description | BLN-006 | Item Type | item_type | Nature of planned expenditure. | Enum | Project; License; Equipment; Service; Subscription; Renewal; Resource; Training; Study; Other | Yes | Budget line | Demand/default | Commercial & Budgeting | Other requires description | Controls cost and procurement fields. | Procurement | Internal
Classification | BLN-007 | Cost Classification | cost_classification | Accounting treatment. | Enum | CAPEX; OPEX | Yes | Budget line | Manual/Finance mapping | Commercial & Budgeting | Policy-compliant; account mapping required | CAPEX/OPEX totals. | SAP/finance | Confidential
Classification | BLN-008 | Cost Category | cost_category | Primary cost taxonomy. | Reference | Cost category code | Yes | Budget line | Manual | Commercial & Budgeting | Active code | Analysis and GL mapping. | SAP/reporting | Internal
Classification | BLN-009 | Cost Subcategory | cost_subcategory | Detailed cost taxonomy. | Reference | Subcategory code | Yes | Budget line | Manual | Commercial & Budgeting | Valid child of category | Analysis and sourcing route. | SAP/procurement | Internal
Classification | BLN-010 | Recurring Flag | is_recurring | Indicates ongoing/renewal cost. | Boolean | Yes/No | Yes | Budget line | Demand/default | Commercial & Budgeting | If Yes, recurrence fields required | Future commitment reporting. | Budget | Internal
Classification | BLN-011 | Recurrence Frequency | recurrence_frequency | Frequency of recurring charge. | Enum | Monthly; Quarterly; Annual; Other | Conditional | Recurring = Yes | Manual | Commercial & Budgeting | Other requires definition | Generates multi-year phasing suggestion. | Budget | Internal
Classification | BLN-012 | New / Existing Commitment | commitment_type | Whether cost is new or continuing contractual commitment. | Enum | New; Existing; Renewal; Mandatory Run Cost | Yes | Budget line | Manual | Commercial & Budgeting | Existing/Renewal requires contract ID | Affordability and prioritization. | Procurement | Internal
Accounting | BLN-013 | Company / Legal Entity | company_code | Legal entity/company bearing the cost. | Reference | SAP company code | Yes | Budget line | Org/SAP | Commercial & Budgeting | Active code | SAP posting dimensions. | SAP | Confidential
Accounting | BLN-014 | Cost Center | cost_center_code | Cost center owning the expenditure. | Reference | SAP cost center | Yes | Budget line | Org/SAP | Commercial & Budgeting | Active for fiscal period | SAP posting and accountability. | SAP | Confidential
Accounting | BLN-015 | GL Account / Cost Element | gl_account_code | Expected general-ledger account or cost element. | Reference | SAP GL/cost element | Yes | Budget line | Mapping | Commercial & Budgeting/Finance | Compatible with CAPEX/OPEX and category | SAP posting. | SAP | Confidential
Accounting | BLN-016 | WBS / Internal Order | wbs_internal_order | Controlling object where known. | Reference | SAP WBS/order | Conditional | Required for existing project/controlling structure | SAP/manual | Commercial & Budgeting | Active and belongs to company/cost center | SAP integration. | SAP | Confidential
Accounting | BLN-017 | Funding Source | funding_source | Source of funds for the line. | Enum/Reference | Corporate; Department; SPV; External; Other | Yes | Budget line | Demand/header | Commercial & Budgeting | Other requires agreement/evidence | Allocation and reporting. | Budget | Confidential
Quantity | BLN-018 | Unit of Measure | unit_of_measure | Procurement/cost unit. | Enum/Text | Each; License; User; Month; Year; FTE; Lot; Service; Other | Yes | Budget line | Manual | Commercial & Budgeting | Other requires label | Quantity × unit cost calculation. | Procurement | Internal
Quantity | BLN-019 | Quantity | quantity | Planned number of units. | Decimal | #,##0.00 | Yes | Budget line | Demand/Manual | Commercial & Budgeting | >0 | Gross amount driver. | Procurement | Confidential
Quantity | BLN-020 | Unit Cost | unit_cost | Estimated price per unit in transaction currency. | Currency | #,##0.00 | Yes | Budget line | Estimate/source | Commercial & Budgeting | >=0; source required | Gross base = quantity × unit cost. | Budget/procurement | Confidential
Currency | BLN-021 | Transaction Currency | transaction_currency | Currency of expected purchase. | Enum | ISO 4217 | Yes | Budget line | SAR | Commercial & Budgeting | Active currency | Selects exchange rate. | Budget/SAP | Internal
Currency | BLN-022 | Exchange Rate | exchange_rate_to_sar | Approved conversion rate to SAR. | Decimal | 0.000000 | Conditional | Currency != SAR | Approved rate table | System | >0; rate date/source required | No manual override without reason/approval. | Budget | Confidential
Currency | BLN-023 | Exchange Rate Date | exchange_rate_date | Effective date of exchange rate. | Date | yyyy-mm-dd | Conditional | Currency != SAR | Rate table | System | Approved cycle rate date | Audit of translation. | Budget | Internal
Calculation | BLN-024 | Gross Amount | gross_amount | Quantity multiplied by unit cost. | Currency | #,##0.00 | No | Budget line | System derived | System | >=0 | Quantity × Unit Cost. | Budget | Confidential
Calculation | BLN-025 | Discount Amount | discount_amount | Expected negotiated/contractual discount. | Currency | #,##0.00 | No | Discount known | Manual/model | Commercial & Budgeting | >=0 and <= gross | Discount rate or evidence recommended. | Budget/procurement | Confidential
Calculation | BLN-026 | Escalation Amount | escalation_amount | Inflation/price escalation over base estimate. | Currency | #,##0.00 | No | Multi-year/indexed cost | Model | Commercial & Budgeting | Rate/source required | Calculated from approved escalation assumption where possible. | Budget | Confidential
Calculation | BLN-027 | Contingency Amount | contingency_amount | Explicit risk allowance for estimate uncertainty. | Currency | #,##0.00 | No | Contingency allowed | Manual/model | Commercial & Budgeting | Percentage/basis and approval threshold | Kept visible; not embedded in unit cost. | Budget | Confidential
Calculation | BLN-028 | Net Before Tax | net_before_tax | Gross less discount plus escalation and contingency. | Currency | #,##0.00 | No | Budget line | System derived | System | >=0 | Gross – Discount + Escalation + Contingency. | Budget | Confidential
Tax | BLN-029 | Tax Code / Treatment | tax_code | Expected VAT/tax treatment. | Reference | Tax code | Yes | Budget line | Policy/SAP | Commercial & Budgeting | Active code compatible with entity/category | Determines tax amount and recoverability. | SAP | Confidential
Tax | BLN-030 | Tax Rate | tax_rate_pct | Applicable tax rate. | Percentage | 0.00% | Yes | Budget line | Tax code | System | From approved tax table | Not manually hardcoded. | Budget/SAP | Confidential
Tax | BLN-031 | Tax Amount | tax_amount | Calculated tax. | Currency | #,##0.00 | No | Taxable line | System derived | System | >=0 | Net Before Tax × Tax Rate, adjusted for recoverability policy. | Budget | Confidential
Calculation | BLN-032 | Requested Total | requested_total | Total requested in transaction currency. | Currency | #,##0.00 | No | Budget line | System derived | System | >=0 | Net Before Tax + applicable Tax Amount. | Budget | Confidential
Calculation | BLN-033 | Requested Total SAR | requested_total_sar | Base-currency value. | Currency | SAR #,##0 | No | Budget line | System derived | System | >=0 | Requested Total × FX Rate (1 for SAR). | Consolidation | Confidential
Phasing | BLN-034 | Fiscal Year | line_fiscal_year | Fiscal year of planned spend. | Integer | YYYY | Yes | Budget line | Manual | Commercial & Budgeting | Within budget horizon | Grouping and controls. | Budget | Internal
Phasing | BLN-035 | Period Phasing | period_phasing | Monthly or quarterly spread of total. | Repeatable Currency | Period + amount | Yes | Budget line | Manual/model | Commercial & Budgeting | Periods within fiscal year; sum = Requested Total SAR | Cash/procurement scheduling. | Budget/Power BI | Confidential
Phasing | BLN-036 | Expected Commitment Date | expected_commitment_date | Date PO/contract is expected. | Date | yyyy-mm-dd | Yes | Budget line | Manual | Commercial & Budgeting | Within planning horizon | Procurement plan timing. | Procurement | Internal
Phasing | BLN-037 | Expected Payment Schedule | expected_payment_schedule | Milestone/payment forecast. | Repeatable Currency | Date + amount + trigger | Conditional | Project/service/milestone payment | Manual | Commercial & Budgeting | Amounts reconcile to total | Cash forecast and contract planning. | Procurement/SAP | Confidential
Source | BLN-038 | Estimate Basis | estimate_basis | Method used to estimate quantity and cost. | Enum | Supplier Quote; Contract Rate; Catalogue; Benchmark; Historical; Parametric; Expert Estimate | Yes | Budget line | Manual | Commercial & Budgeting | Evidence required | Confidence and audit. | Approval | Confidential
Source | BLN-039 | Estimate Source Reference | estimate_source_reference | Quote, contract, invoice, benchmark or calculation reference. | Text/Reference | 500 chars | Yes | Budget line | Manual | Commercial & Budgeting | Attachment/URL/reference required | Audit trail. | Sources | Confidential
Source | BLN-040 | Estimate Date | estimate_date | Date estimate was prepared/obtained. | Date | yyyy-mm-dd | Yes | Budget line | Manual | Commercial & Budgeting | Not future; staleness threshold configured | Flags stale estimates. | Validation | Internal
Source | BLN-041 | Estimate Confidence | estimate_confidence | Confidence rating of estimate. | Enum | High; Medium; Low | Yes | Budget line | Manual | Commercial & Budgeting | Low requires contingency/risk | Approval flag. | Consolidation | Internal
Supplier | BLN-042 | Indicative Supplier | indicative_supplier_id | Potential vendor where known. | Reference | Vendor ID | No | Supplier known | Manual/SAP | Commercial & Budgeting | Active/eligible vendor; no commitment implied | Procurement planning. | Procurement | Confidential
Supplier | BLN-043 | Contract ID | contract_id | Existing contract or framework supporting cost. | Reference | Contract ID | Conditional | Existing/Renewal commitment | SAP/manual | Commercial & Budgeting | Active; scope/value/term sufficient | Procurement route and price evidence. | Procurement/SAP | Confidential
Supplier | BLN-044 | Procurement Method | procurement_method | Expected sourcing method. | Enum | Existing Contract; Framework; RFQ; RFP; Direct Purchase; Single Source; Internal | Yes | Budget line | Demand/default | Commercial & Budgeting | Single source requires justification | Procurement plan default. | Procurement | Confidential
Prioritization | BLN-045 | Demand Priority Score | demand_priority_score | Validated priority score inherited from demand. | Decimal | 0–100 | No | Demand validated | Demand | System | Cannot be edited on budget line | Supports funding recommendation. | Consolidation | Internal
Prioritization | BLN-046 | Budget Recommendation | budget_recommendation | Commercial & Budgeting disposition of the line. | Enum | Recommend Full; Recommend Partial; Defer; Reject; Hold | Yes | Validation | Manual | Commercial & Budgeting | Reason required unless Recommend Full | Controls inclusion and recommended amount. | Consolidation | Internal
Prioritization | BLN-047 | Recommended Amount SAR | recommended_amount_sar | Amount recommended for CTO consideration. | Currency | SAR #,##0 | Yes | Validation | Requested total default | Commercial & Budgeting | 0 to requested total unless justified | Header recommended total. | Approval | Confidential
Prioritization | BLN-048 | Recommendation Rationale | recommendation_rationale | Reason for recommendation, reduction, deferral or rejection. | Long Text | 1,500 chars | Conditional | Not full recommendation or exception | Manual | Commercial & Budgeting | Must address impact and alternative | CTO decision context. | Approval | Confidential
Validation | BLN-049 | Funding Availability | funding_availability | Whether amount fits the applicable envelope/funding source. | Enum | Available; Partially Available; Not Available; Pending | Yes | Validation | System + validator | Commercial & Budgeting | Mapped ceiling and residual amount | Influences recommendation. | Consolidation | Confidential
Validation | BLN-050 | Duplicate Cost Check | duplicate_cost_check | Checks same demand/cost/contract/item is not funded twice. | Enum | Clear; Potential Duplicate; Duplicate; Accepted Overlap | Yes | Validation | System + validator | Commercial & Budgeting | Non-clear needs linked record and disposition | Duplicate lines excluded/linked. | Control | Confidential
Validation | BLN-051 | Accounting Validation | accounting_validation | Validation of company, cost center, GL and classification. | Enum | Pass; Warning; Fail | Yes | Validation | Rules + validator | Commercial & Budgeting/Finance | Fail blocks inclusion | Ensures SAP readiness. | Control | Internal
Approval | BLN-052 | CTO Line Decision | cto_line_decision | Line-level result where approval is captured at detail level. | Enum | Approved; Approved with Conditions; Not Approved; Deferred | Conditional | Line-level decisions enabled | CTO approval | CTO/System | Decision amount required for approval | Rolls to header status. | Procurement | Confidential
Approval | BLN-053 | Approved Amount SAR | approved_amount_sar | Authorized line value. | Currency | SAR #,##0 | Conditional | Budget approved | Approval transaction | CTO/System | 0 to requested or exception with reason | Maximum procurement authority before change control. | Procurement/BSC | Confidential
Tracking | BLN-054 | Committed Amount SAR | committed_amount_sar | Current PO/contract commitments. | Currency | SAR #,##0 | No | Procurement execution | SAP/procurement | System | >=0 | Sum linked procurement commitments. | Budget tracking | Confidential
Tracking | BLN-055 | Actual Amount SAR | actual_amount_sar | Posted/invoiced actual cost under selected accounting basis. | Currency | SAR #,##0 | No | Actuals available | SAP | System | >=0; reconciled | Sum approved source transactions. | Budget tracking | Confidential
Tracking | BLN-056 | Estimate at Completion | eac_amount_sar | Latest expected total cost. | Currency | SAR #,##0 | No | Execution begins | System/model/manual forecast | Commercial & Budgeting | >= actual + remaining commitments where applicable | Used for variance and BSC budget score. | Dashboard | Confidential
Tracking | BLN-057 | Budget Variance SAR | budget_variance_sar | Approved amount less EAC. | Currency | SAR #,##0; negatives parentheses | No | Approved and EAC available | System derived | System | Formula = Approved – EAC | Negative indicates forecast overrun. | Dashboard/BSC | Confidential
