# 02_ID Relationships (24 rows)
Identifier and Entity Relationship Model |  |  |  |  |  |  |  | 
All records retain the same Master Traceability ID. Child IDs preserve uniqueness, cardinality and clean Power BI relationships. |  |  |  |  |  |  |  | 
Entity | Prefix | Primary Key | Parent / Foreign Key | Cardinality | Generated By | ID Pattern | Version Rule | Relationship Note
Master Trace | MTR | master_trace_id | None | 1 per originating route/case | System on process start | TECH-{YYYY}-{000001} | Immutable | Parent of every downstream record
Strategy | STR | strategy_id | master_trace_id | 0..1 per strategic Master Trace | System | {MTR}-STR-01 | Versioned | Required only for strategic route
Strategic Theme | THM | theme_id | strategy_id | 0..n per Strategy | System | {MTR}-THM-{00} | Versioned | Groups objectives
Strategic Objective | OBJ | objective_id | strategy_id | 1..n per Strategy | System | {MTR}-OBJ-{00} | Versioned | Parent of KPI and contribution links
KPI Definition | KPI | kpi_id | objective_id | 1..n per Objective | System | {MTR}-KPI-{00} | Versioned | Definition remains stable across reporting periods
KPI Performance Update | KPU | kpi_update_id | kpi_id | 0..n per KPI | System | {KPI}-{YYYYMM} | Append-only after validation | One row per KPI/reporting period
Balanced Scorecard | BSC | scorecard_id | strategy_id | 1..n per Strategy | System | {MTR}-BSC-{YYYYMM} | Snapshot/versioned | Aggregates objective and KPI scores
Demand | DEM | demand_id | master_trace_id | 1..n per Master Trace | System | {MTR}-DEM-{00} | Versioned | May be strategic or non-strategic
Demand Option | OPT | option_id | demand_id | 1..n per Demand | System | {DEM}-OPT-{00} | Versioned | Includes do-nothing option
Demand Benefit | BEN | benefit_id | demand_id | 0..n per Demand | System | {DEM}-BEN-{00} | Versioned | Links to KPI where measurable
Demand Risk/Dependency | DRD | demand_item_id | demand_id | 0..n per Demand | System | {DEM}-DRD-{00} | Versioned | Typed as risk, assumption, issue, constraint or dependency
Budget Submission | BUD | budget_submission_id | master_trace_id / strategy_id | 1..n versions per cycle | System | {MTR}-BUD-{FY}-V{00} | Versioned | Header for consolidated budget
Budget Line | BLN | budget_line_id | budget_submission_id + demand_id | 1..n per Budget | System | {BUD}-BLN-{000} | Versioned | Atomic funding and phasing record
Budget Consolidation | CON | consolidation_id | budget_submission_id | 1 per submitted version | System | {BUD}-CON-01 | Versioned | Reconciliation and CTO decision pack
Procurement Plan | PPL | procurement_plan_id | budget_submission_id | 1..n per approved Budget | System | {MTR}-PPL-{FY} | Versioned | Header for procurement items
Procurement Item | PRI | procurement_item_id | procurement_plan_id + budget_line_id | 1..n per Plan | System | {PPL}-PRI-{000} | Versioned | May produce project, license, equipment or service
Procurement Status Update | PSU | procurement_update_id | procurement_item_id | 0..n per Item | System | {PRI}-UPD-{000} | Append-only | Full milestone/status history
Project Registration | PRJ | project_id | procurement_item_id + demand_id | 0..1 per project-producing Item | System | {MTR}-PRJ-{00} | Versioned | PMO registered project
Approval Transaction | APR | approval_id | entity_type + entity_id + version | 0..n per approvable record | System | {EntityID}-APR-{00} | Append-only | Generic approval audit history
Attachment | ATT | attachment_id | entity_type + entity_id | 0..n per Entity | System | {EntityID}-ATT-{00} | Append-only/versioned | Evidence and controlled documents
Comment | COM | comment_id | entity_type + entity_id | 0..n per Entity | System | {EntityID}-COM-{000} | Append-only | Threaded discussion and return comments
