# 17_Approvals (32 rows)
Template 10 — Generic Approval and Return Transaction |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Reusable for strategy and budget gates. Approved versions are immutable; returns create controlled revision cycles with complete decision history. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | APR-001 | Approval ID | approval_id | Unique approval transaction. | ID / String | {EntityID}-APR-00 | Yes | Approval task | System | System | Unique | Append-only. | Audit | Internal
Identity | APR-002 | Entity Type | entity_type | Type of record being approved. | Enum | Strategy; Budget; KPI Update; Other configured | Yes | Approval task | Context | System | Configured approvable entity | Loads applicable workflow. | Workflow | Internal
Identity | APR-003 | Entity ID | entity_id | Record being approved. | Reference | Entity ID | Yes | Approval task | Context | System | Record exists and submitted | Foreign-key enforced. | Audit | Internal
Identity | APR-004 | Entity Version | entity_version | Exact submitted version. | Integer | 1..n | Yes | Approval task | Submitted record | System | Matches locked version | Prevents approval of changed content. | Audit | Internal
Identity | APR-005 | Submitted Version Hash | version_hash | Integrity hash of approval payload. | String | 64/128 chars | Yes | Approval task | System | System | Must match current locked payload | Decision fails if mismatch. | Audit | Restricted
Gate | APR-006 | Stage / Gate Code | gate_code | Gate at which decision is required. | Reference | G-S1; G-B1; configured | Yes | Approval task | Workflow | System | Applicable to entity/status | Routes authority and decision list. | Workflow | Internal
Gate | APR-007 | Approval Sequence | approval_sequence | Position in serial approval chain. | Integer | 1..n | Yes | Multi-step approval | Workflow definition | System | >=1 | Parallel approvals share sequence/group. | Workflow | Internal
Gate | APR-008 | Approval Group | approval_group | Parallel/serial group identifier. | String | 50 chars | No | Complex approvals | Workflow definition | System | Configured | Controls when next sequence opens. | Workflow | Internal
Assignment | APR-009 | Approver Role | approver_role | Required approval authority role. | Reference | Role code | Yes | Approval task | Workflow definition | System/Admin | Active role | Named approver resolved at assignment time. | Audit | Internal
Assignment | APR-010 | Approver User | approver_user_id | Person assigned to decide. | User Reference | Directory ID | Yes | Approval task | Authority matrix | System/Admin | Active authorized user | Cannot equal submitter where segregation rule applies. | Workflow | Confidential
Assignment | APR-011 | Authority Basis | authority_basis | Delegation-of-authority rule/policy supporting assignment. | Reference/Text | Policy/rule ID | Yes | Approval task | Authority matrix | System/Admin | Effective on assignment date | Auditable approval authority. | Audit | Confidential
Assignment | APR-012 | Delegated From | delegated_from_user_id | Original authority when approved by delegate. | User Reference | Directory ID | Conditional | Delegated approval | Delegation service | System | Valid active delegation | Displays delegate and original approver. | Audit | Confidential
Timing | APR-013 | Assigned Date/Time | assigned_at | Task assignment timestamp. | DateTime | ISO 8601 UTC | Yes | Approval task | System clock | System | >= submission time | Starts SLA clock. | SLA | Internal
Timing | APR-014 | SLA Due Date/Time | sla_due_at | Decision deadline. | DateTime | ISO 8601 UTC | Yes | Approval task | Calendar + SLA rule | System | > assigned time | Accounts for configured business calendar. | SLA/dashboard | Internal
Timing | APR-015 | Decision Date/Time | decision_at | Timestamp decision committed. | DateTime | ISO 8601 UTC | Conditional | Decision made | System clock | System | >= assigned time | Stops SLA clock. | Audit | Internal
Timing | APR-016 | Elapsed Approval Time | elapsed_approval_hours | Business/calendar hours consumed. | Decimal | 0.0 hours | No | Task active/completed | System derived | System | Basis displayed | Decision/now – assigned, using configured calendar. | SLA dashboard | Internal
Timing | APR-017 | Overdue Flag | is_overdue | Whether task exceeded SLA before decision. | Boolean | Yes/No | No | Approval task | System derived | System | Now/decision > SLA due | Drives reminders/escalation. | Dashboard | Internal
Decision | APR-018 | Decision | decision | Formal disposition. | Enum | Pending; Approved; Approved with Conditions; Returned for Revision; Rejected/Closed; Withdrawn | Yes | Approval task | Pending | Approver/Workflow | Allowed decisions per gate | Returned loops; Rejected/Closed is terminal and requires explicit authority. | Workflow | Internal
Decision | APR-019 | Decision Comments | decision_comments | Approver rationale or instructions. | Long Text | 3,000 chars | Conditional | Required unless plain Approved | Manual | Approver | Minimum 20 chars for return/reject | Visible to submitter and audit. | Workflow | Confidential
Decision | APR-020 | Conditions | approval_conditions | Conditions attached to approval. | Repeatable Condition | Condition + owner + due + blocking | Conditional | Approved with Conditions | Manual | Approver | At least one condition | Blocking conditions prevent affected release until closed. | Workflow | Confidential
Decision | APR-021 | Return Target Stage | return_stage_code | Stage to which record/work items return. | Reference | Stage code | Conditional | Returned for Revision | Workflow/default | Approver | Allowed backward route | Creates revision tasks. | Workflow | Internal
Decision | APR-022 | Affected Record IDs | affected_record_ids | Specific records/lines requiring revision. | Multi Reference | Entity IDs | Conditional | Partial/targeted return | Manual | Approver | Must belong to approved package | Unchanged records remain locked/read-only as configured. | Workflow | Confidential
Decision | APR-023 | Resubmission Number | resubmission_number | Count of submission cycles. | Integer | 0..n | Yes | Approval task | System | System | >=0 | Increments when revised version resubmitted. | Process analytics | Internal
Evidence | APR-024 | Digital Signature / Identity Evidence | signature_evidence | Authentication and nonrepudiation evidence for decision. | Structured Security Data | Identity + auth method + token hash | Yes | Decision | Identity platform | System | Valid authenticated session | Stored according to security policy. | Audit | Restricted
Evidence | APR-025 | Decision Attachment IDs | decision_attachment_ids | Approver evidence, marked-up pack or conditions. | Multi Reference | Attachment IDs | No | If supporting file provided | Manual | Approver | Allowed types/virus scan | Locked with decision. | Audit | Confidential
Notification | APR-026 | Notification Recipients | notification_recipients | Users/roles informed of decision. | Multi Reference | User/role IDs | Yes | Decision | Workflow definition + affected owners | System | At least submitter and record owner | No recipient editing by approver unless allowed. | Notification | Confidential
Notification | APR-027 | Notification Status | notification_status | Delivery result of decision notifications. | Enum | Pending; Sent; Partially Failed; Failed | Yes | Decision | Notification service | System | Failure retries/escalates | Does not roll back approval decision. | Operations | Internal
Control | APR-028 | Conflict of Interest Declaration | conflict_declaration | Approver confirmation of no conflict or recorded mitigation. | Enum + Text | No Conflict; Conflict Declared/Mitigated; Recused | Conditional | Where policy requires | Manual | Approver | Recused reassigns task | Audit and authority control. | Audit | Restricted
Control | APR-029 | Record Lock Release | lock_release_action | System action after decision. | Enum | Keep Locked; Create Revision; Release for Next Stage; Close | Yes | Decision | Workflow | System | Mapped to decision | Ensures consistent post-decision record state. | Workflow | Internal
