# 09_Balanced Scorecard (33 rows)
Template 5 — Balanced Scorecard and Strategy Performance |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Calculated scorecard linking KPI results, project contribution and budget performance. Component weights are configurable; POC defaults are documented. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | BSC-001 | Scorecard ID | scorecard_id | Unique scorecard reporting snapshot. | ID / String | {MTR}-BSC-YYYYMM | Yes | Strategic route | System | System | Unique strategy + period + version | Generated for each reporting period. | Executive report | Internal
Identity | BSC-002 | Strategy ID | strategy_id | Strategy represented by the scorecard. | Reference | Strategy ID | Yes | Strategic route | System | System | Approved strategy version active in period | Loads perspectives, objectives and KPI definitions. | BSC | Internal
Period | BSC-003 | Reporting Period | reporting_period | Month/quarter represented. | Period | YYYY-MM / YYYY-Qn | Yes | All snapshots | System calendar | System | Aligned to strategy reporting frequency | Snapshot key. | Power BI | Internal
Period | BSC-004 | Data As-of Date | data_as_of_date | Latest complete validated data date. | Date | yyyy-mm-dd | Yes | All snapshots | System derived | System | <= report refresh date | Minimum data-complete date across scored KPI components. | Report header | Internal
Perspective | BSC-005 | Perspective | perspective_code | Balanced scorecard perspective. | Enum | Financial; Customer/Stakeholder; Internal Process; Learning & Growth | Yes | Scorecard line | Objective definition | System | Configured list | Groups objectives and scores. | Scorecard | Internal
Perspective | BSC-006 | Perspective Weight | perspective_weight_pct | Contribution of perspective to overall score. | Percentage | 0.00% | Yes | Strategic route | Strategy & Governance | Strategy & Governance | All active perspective weights total 100% | Overall strategy score. | Scorecard | Internal
Objective | BSC-007 | Objective ID | objective_id | Objective represented in the line. | Reference | Objective ID | Yes | Scorecard line | Objective register | System | Active in period | Loads objective weight and ownership. | Drill-through | Internal
Objective | BSC-008 | Objective Weight | objective_weight_pct | Weight within perspective. | Percentage | 0.00% | Yes | Scorecard line | Objective register | System | Totals 100% within perspective | Perspective score. | Scorecard | Internal
KPI | BSC-009 | KPI ID | kpi_id | KPI represented in the line. | Reference | KPI ID | Yes | Scorecard line | KPI register | System | Active in period | Loads target, actual, unit, weight and polarity. | Drill-through | Internal
KPI | BSC-010 | KPI Weight | kpi_weight_pct | Weight within objective. | Percentage | 0.00% | Yes | Scorecard line | KPI register | System | Totals 100% within objective | Objective KPI score. | Scorecard | Internal
KPI | BSC-011 | Period Target | period_target | Approved KPI target for period. | Decimal/Text | Per KPI | Yes | Scorecard line | KPI target profile | System | Target version effective in period | Comparison value. | Scorecard | Internal
KPI | BSC-012 | Validated Actual | validated_actual | Latest validated KPI actual for period. | Decimal/Text | Per KPI | Conditional | Update validated | KPI update | System | Only Validation Decision = Validated | Unvalidated values excluded or clearly flagged. | Scorecard | Confidential
KPI | BSC-013 | Achievement Percentage | achievement_pct | Calculated target achievement. | Percentage | 0.0% | No | Validated actual | KPI update | System | KPI polarity/cap rules | Copied from validated update. | Scorecard | Internal
KPI | BSC-014 | Weighted KPI Score | weighted_kpi_score | KPI contribution to objective score. | Decimal | 0.0–100.0 | No | Validated actual | System derived | System | Achievement × KPI weight | Objective aggregation. | Scorecard | Internal
KPI | BSC-015 | KPI RAG | kpi_rag | KPI status. | Enum | Green; Amber; Red; Not Rated | No | Scorecard line | KPI update | System | Threshold rules | Exception visualization. | Scorecard | Internal
Delivery | BSC-016 | Linked Demand Count | linked_demand_count | Active/approved demands contributing to objective. | Integer | #,##0 | No | Objective line | System derived | System | Distinct demand IDs | Drill-through to demand. | Dashboard | Internal
Delivery | BSC-017 | Linked Procurement Item Count | linked_procurement_count | Procurement items contributing to objective. | Integer | #,##0 | No | Objective line | System derived | System | Distinct active item IDs | Delivery pipeline view. | Dashboard | Internal
Delivery | BSC-018 | Linked Project Count | linked_project_count | Registered projects contributing to objective. | Integer | #,##0 | No | Objective line | System derived | System | Distinct registered Project IDs | Project drill-through. | Dashboard | Internal
Delivery | BSC-019 | Project Contribution Weight | project_contribution_weight_pct | Weight of linked project progress in composite objective score. | Percentage | 0.0% | Yes | Composite scoring enabled | Configuration | Strategy & Governance | 0–100%; component weights total 100% | POC default 20%. | Objective score | Internal
Delivery | BSC-020 | Weighted Project Progress | weighted_project_progress_pct | Contribution-weighted progress of linked projects. | Percentage | 0.0% | No | Projects linked | System derived | System | Contribution weights total 100% or normalized | Sum(project progress × contribution weight). | Objective score | Internal
Financial | BSC-021 | Approved Budget | approved_budget_sar | Approved budget mapped to objective. | Currency | SAR #,##0 | No | Budget approved | Budget lines | System | Approved lines only | Objective budget total. | Dashboard | Confidential
Financial | BSC-022 | Committed / Forecast Value | comparison_value_sar | Configured comparison against budget, default latest EAC/committed. | Currency | SAR #,##0 | No | Procurement updates exist | System derived | System | Basis visible | Feeds budget performance. | Dashboard | Confidential
Financial | BSC-023 | Budget Performance Score | budget_performance_score | Score reflecting budget control, not simple spend maximization. | Decimal | 0.0–100.0 | No | Budget approved | System derived | System | Configured tolerance bands | Default: 100 within approved envelope/tolerance; scaled down for unauthorized overrun or unexplained under-forecast. | Objective score | Internal
Scoring | BSC-024 | KPI Component Weight | kpi_component_weight_pct | Weight of KPI score in composite objective score. | Percentage | 0.0% | Yes | Composite scoring | Configuration | Strategy & Governance | Component weights total 100% | POC default 70%. | Objective score | Internal
Scoring | BSC-025 | Budget Component Weight | budget_component_weight_pct | Weight of budget performance in composite score. | Percentage | 0.0% | Yes | Composite scoring | Configuration | Strategy & Governance | Component weights total 100% | POC default 10%. | Objective score | Internal
Scoring | BSC-026 | Composite Objective Score | composite_objective_score | Weighted blend of KPI, project and budget components. | Decimal | 0.0–100.0 | No | Objective line | System derived | System | 0–configured cap | KPI score×70% + project progress×20% + budget score×10% by POC default. | Perspective score | Internal
Scoring | BSC-027 | Perspective Score | perspective_score | Weighted objective score within perspective. | Decimal | 0.0–100.0 | No | Perspective | System derived | System | Objective weights reconcile | Sum(objective score × objective weight). | Overall score | Internal
Scoring | BSC-028 | Overall Strategy Score | overall_strategy_score | Weighted score across perspectives. | Decimal | 0.0–100.0 | No | Scorecard snapshot | System derived | System | Perspective weights reconcile | Sum(perspective score × perspective weight). | One-page report | Internal
Scoring | BSC-029 | Overall Strategy RAG | overall_strategy_rag | Executive health status. | Enum | Green; Amber; Red; Not Rated | No | Scorecard snapshot | System derived | System/controlled override | Configured thresholds; override reason | Default Green >=90; Amber 70–89.99; Red <70. | One-page report | Internal
Narrative | BSC-030 | Executive Performance Narrative | executive_narrative | Concise explanation of performance, variances, outlook and required decisions. | Long Text | 3,000 chars | Yes | Published scorecard | Manual | Strategy & Governance | Must address Red/Amber objectives and material budget variances | Included in one-page report. | Executive reporting | Confidential
