# 05_Strategy (43 rows)
Template 1 — Technology Strategy |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Used only for the strategic entry route. Shared fields and approval/attachment fields apply in addition to these template-specific fields. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | STR-001 | Strategy ID | strategy_id | Unique strategy record identifier. | ID / String | {MTR}-STR-01 | Yes | Strategic route | System | System | Unique | Generated at strategy creation. | Objectives, budget, BSC | Internal
Identity | STR-002 | Strategy Title | strategy_title | Official title of the technology strategy. | Text | 200 chars | Yes | Strategic route | Manual | Strategy & Governance | 3–200 characters; no duplicate active title for same period | Displayed across reports and approvals. | All child records and reporting | Internal
Identity | STR-003 | Strategy Type | strategy_type | Level/type of strategy being managed. | Enum | Enterprise Technology; Sub-strategy; Functional; Transformation | Yes | Strategic route | Manual | Strategy & Governance | Configured list | Controls hierarchy and required alignment. | Reporting | Internal
Identity | STR-004 | Parent Strategy | parent_strategy_id | Higher-level strategy to which this strategy contributes. | Reference | Strategy ID | Conditional | Required for sub-strategy/functional strategy | Manual lookup | Strategy & Governance | Active approved strategy; period overlap | Prevents circular hierarchy. | Alignment map | Internal
Period | STR-005 | Planning Horizon Start | horizon_start_date | First effective date of the strategy. | Date | yyyy-mm-dd | Yes | Strategic route | Manual | Strategy & Governance | Must precede horizon end | Used for performance-period generation. | KPI targets and reporting | Internal
Period | STR-006 | Planning Horizon End | horizon_end_date | Final effective date of the strategy. | Date | yyyy-mm-dd | Yes | Strategic route | Manual | Strategy & Governance | > horizon start | Deactivates future reporting after closure. | KPI targets and reporting | Internal
Period | STR-007 | Baseline Fiscal Year | baseline_fiscal_year | Fiscal year used for baseline measures and costs. | Integer | YYYY | Yes | Strategic route | Manual | Strategy & Governance | Within/adjacent to horizon | Anchors baseline comparisons. | BSC and budget | Internal
Ownership | STR-008 | Executive Sponsor | executive_sponsor_user_id | Executive accountable for sponsorship. | User Reference | Directory ID | Yes | Strategic route | Manual | Strategy & Governance | Active executive role | Receives escalations and review tasks. | Governance | Confidential
Ownership | STR-009 | Strategy Owner | strategy_owner_user_id | Accountable owner of strategy delivery. | User Reference | Directory ID | Yes | Strategic route | Manual | Strategy & Governance | Active user | Default owner for objectives unless overridden. | Workflow and reporting | Confidential
Ownership | STR-010 | Performance Manager | performance_manager_user_id | Responsible for performance cycles and scorecard updates. | User Reference | Directory ID | Yes | Strategic route | Manual | Strategy & Governance | Active user | Receives KPI validation tasks. | BSC | Confidential
Context | STR-011 | Executive Summary | executive_summary | Concise strategy purpose, intended outcomes and investment direction. | Long Text | 2,000 chars | Yes | Strategic route | Manual | Strategy & Governance | Minimum 100 characters | Included in CTO decision pack. | One-page report | Confidential
Context | STR-012 | Mandate / Authority | mandate_statement | Business mandate, policy or executive direction establishing the strategy. | Long Text | 1,500 chars | Yes | Strategic route | Manual | Strategy & Governance | Must identify source/authority | Supports governance and scope legitimacy. | Approval pack | Confidential
Context | STR-013 | Vision | vision_statement | Desired future state enabled by the strategy. | Long Text | 1,000 chars | Yes | Strategic route | Manual | Strategy & Governance | Minimum 20 characters | Displayed on strategy summary. | Reporting | Internal
Context | STR-014 | Mission | mission_statement | Role of Technology in achieving the vision. | Long Text | 1,000 chars | Yes | Strategic route | Manual | Strategy & Governance | Minimum 20 characters | Displayed on strategy summary. | Reporting | Internal
Context | STR-015 | Strategic Drivers | strategic_drivers | Business, customer, regulatory, operational and technology drivers. | Multi-select + Text | Configured values + narrative | Yes | Strategic route | Manual | Strategy & Governance | At least one driver | Used in demand alignment and reporting. | Demand classification | Internal
Context | STR-016 | Current-State Summary | current_state_summary | Evidence-based summary of current capability and performance. | Long Text | 3,000 chars | Yes | Strategic route | Manual | Strategy & Governance | Minimum 100 characters | Baseline for target state. | Approval pack | Confidential
Context | STR-017 | External/Internal Trends | trend_summary | Material trends, benchmarks and constraints affecting direction. | Long Text | 2,000 chars | No | Strategic route | Manual | Strategy & Governance | Source references recommended | Supports assumptions and risks. | Approval pack | Confidential
Context | STR-018 | SWOT Summary | swot_summary | Consolidated strengths, weaknesses, opportunities and threats. | Structured Long Text | 4 quadrants | No | Strategic route | Manual | Strategy & Governance | If used, at least one item per quadrant | Feeds priorities and risks. | Strategy analysis | Confidential
Direction | STR-019 | Target-State Description | target_state_description | Description of capabilities, services and operating model at strategy end. | Long Text | 3,000 chars | Yes | Strategic route | Manual | Strategy & Governance | Minimum 100 characters | Used to assess objective completeness. | Demand and project alignment | Confidential
Direction | STR-020 | Strategic Themes | strategic_theme_ids | Themes under which objectives are grouped. | Multi Reference | Theme IDs | Yes | Strategic route | Theme child records | Strategy & Governance | At least one active theme | Creates theme/objective hierarchy. | BSC and reporting | Internal
Direction | STR-021 | Strategic Priorities | strategic_priorities | Ordered priorities guiding demand and budget trade-offs. | Repeatable Text | Ranked list | Yes | Strategic route | Manual | Strategy & Governance | Unique ranks; at least one priority | Demand scoring and budget consolidation. | Prioritization | Confidential
