# 06_Objectives (34 rows)
Template 2 — Strategic Objectives |  |  |  |  |  |  |  |  |  |  |  |  |  | 
One strategy contains one or more objectives. Objective and KPI weights are validated before CTO strategy submission. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | OBJ-001 | Objective ID | objective_id | Unique strategic objective identifier. | ID / String | {MTR}-OBJ-00 | Yes | Strategic route | System | System | Unique | Generated when objective is created. | KPI, demand and project links | Internal
Identity | OBJ-002 | Parent Strategy | strategy_id | Approved/working strategy containing the objective. | Reference | Strategy ID | Yes | Strategic route | Current strategy | Strategy & Governance | Same Master ID | Foreign-key enforced. | Strategy hierarchy | Internal
Identity | OBJ-003 | Strategic Theme | theme_id | Theme under which the objective is organized. | Reference | Theme ID | Yes | Strategic route | Manual | Strategy & Governance | Theme belongs to strategy | Groups scorecard presentation. | BSC | Internal
Definition | OBJ-004 | Objective Name | objective_name | Concise action-oriented objective name. | Text | 200 chars | Yes | Strategic route | Manual | Strategy & Governance | Unique within strategy; 5–200 chars | Displayed in all alignment views. | Demand/project alignment | Internal
Definition | OBJ-005 | Objective Description | objective_description | Full definition, intent and boundary of the objective. | Long Text | 2,000 chars | Yes | Strategic route | Manual | Strategy & Governance | Minimum 50 characters | Prevents inconsistent interpretation. | BSC and approvals | Confidential
Definition | OBJ-006 | Intended Outcome | intended_outcome | Measurable outcome expected when the objective succeeds. | Long Text | 1,000 chars | Yes | Strategic route | Manual | Strategy & Governance | Must contain measurable outcome or target reference | Used in demand contribution statements. | Benefits | Internal
Classification | OBJ-007 | Scorecard Perspective | bsc_perspective | Balanced scorecard perspective. | Enum | Financial; Customer/Stakeholder; Internal Process; Learning & Growth | Yes | Strategic route | Manual | Strategy & Governance | Configured BSC perspectives | Groups and weights scorecard. | BSC | Internal
Classification | OBJ-008 | Objective Type | objective_type | Classification for portfolio analysis. | Enum | Growth; Efficiency; Risk/Compliance; Capability; Service; Innovation | Yes | Strategic route | Manual | Strategy & Governance | Configured list | Demand scoring and reporting. | Power BI | Internal
Ownership | OBJ-009 | Objective Owner | objective_owner_user_id | Accountable executive/manager for achieving the objective. | User Reference | Directory ID | Yes | Strategic route | Strategy owner default | Strategy & Governance | Active user | Receives performance actions. | Workflow | Confidential
Ownership | OBJ-010 | Performance Coordinator | performance_coordinator_user_id | Person coordinating updates and evidence. | User Reference | Directory ID | Yes | Strategic route | Manual | Strategy & Governance | Active user | Receives KPI update tasks. | KPI update | Confidential
Period | OBJ-011 | Start Date | objective_start_date | Objective effective start. | Date | yyyy-mm-dd | Yes | Strategic route | Manual | Strategy & Governance | Within strategy horizon | Controls active reporting periods. | BSC | Internal
Period | OBJ-012 | End Date | objective_end_date | Objective target completion. | Date | yyyy-mm-dd | Yes | Strategic route | Manual | Strategy & Governance | >= start; within strategy horizon | Controls completion and scoring. | BSC | Internal
Priority | OBJ-013 | Priority | objective_priority | Relative strategic priority. | Enum | Critical; High; Medium; Low | Yes | Strategic route | Manual | Strategy & Governance | Configured list | Demand and budget prioritization. | Consolidation | Internal
Weight | OBJ-014 | Objective Weight | objective_weight_pct | Weight within its BSC perspective. | Percentage | 0.00% | Yes | Strategic route | Manual | Strategy & Governance | >0 and <=100%; weights within perspective total 100% | Calculates perspective score. | BSC | Internal
Measurement | OBJ-015 | Baseline Narrative | baseline_narrative | Current position against the intended outcome. | Long Text | 1,500 chars | Yes | Strategic route | Manual | Strategy & Governance | Evidence/source required | Supports progress interpretation. | BSC | Confidential
Measurement | OBJ-016 | Target Outcome Date | target_outcome_date | Date by which the intended outcome should be achieved. | Date | yyyy-mm-dd | Yes | Strategic route | Objective end default | Strategy & Governance | Within objective period | Timeliness measurement. | BSC | Internal
