# 04_Shared Fields (32 rows)
Shared Fields Inherited by Every Business Entity |  |  |  |  |  |  |  |  |  |  |  |  |  | 
These control fields are not repeated on every template tab. The application must add them to each entity as applicable. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | SHR-001 | Master Traceability ID | master_trace_id | Permanent end-to-end identifier created at the first process entry point. | ID / String | TECH-YYYY-000001 | Yes | All records | System generated | System only | Unique; immutable; indexed | Never regenerated or edited; copied to every child record. | Primary cross-phase reporting and integration key | Internal
Identity | SHR-002 | Entity Record ID | record_id | Unique identifier for the specific strategy, demand, budget line, procurement item or project record. | ID / String | Entity pattern | Yes | All records | System generated | System only | Unique within entity type | Generated from entity prefix and parent key. | Primary key | Internal
Identity | SHR-003 | Entity Type | entity_type | Identifies the record/table type. | Enum | 30 chars | Yes | All records | System | System only | Configured entity list | Controls workflow, permissions and ID format. | Approval, comments, attachments | Internal
Identity | SHR-004 | Parent Record ID | parent_record_id | Immediate parent entity for hierarchy navigation. | Reference | ID | Conditional | Required for child entities | System/selected | Record creator | Must exist and share Master ID | Enforces referential integrity. | Hierarchy and drill-through | Internal
Routing | SHR-005 | Entry Route | entry_route | Indicates Strategic or Non-strategic / Ad hoc entry route. | Enum | Strategic; Non-strategic/Ad hoc | Yes | Master record | User selection at start | Initiator | Cannot be blank; changes require admin-controlled correction | Controls strategy stages and mandatory fields. | Workflow branching and dashboard segmentation | Internal
Routing | SHR-006 | Lifecycle Phase | lifecycle_phase | Current lifecycle phase. | Enum | Pre-Initiation | Yes | All records | System default | System only | Configured lifecycle list | Remains Pre-Initiation until PMO handoff. | Lifecycle reporting | Internal
Routing | SHR-007 | Current Stage | current_stage_code | Current stage or gate code. | Reference | PI-00..PI-11 / gate code | Yes | Workflow-controlled records | Workflow engine | System only | Must be valid next stage | Updated only by successful workflow transition. | Phase status and queues | Internal
Status | SHR-008 | Record Status | record_status | Business status of the record. | Enum | Per entity status list | Yes | All records | Draft | Authorized role/workflow | Valid transition only | Terminal statuses block normal edits. | Operational reporting | Internal
Status | SHR-009 | Approval Status | approval_status | Latest approval state for the current version. | Enum | Not Required; Not Submitted; Pending; Approved; Returned; Rejected | Yes | Approvable records | System | Workflow only | Derived from latest approval transaction | Approved status locks submitted version. | Gate reporting | Internal
Status | SHR-010 | RAG Status | rag_status | Current health classification. | Enum | Green; Amber; Red; Not Rated | Conditional | Performance-tracked records | Derived unless override permitted | System / authorized owner | Override needs reason | Calculated from configured thresholds; approved overrides audited. | Dashboard | Internal
