# 10_Demand Business Case (98 rows)
Template 6 — Comprehensive Demand and Business Case |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Used for both routes. Strategic fields become mandatory for strategic demands; ad-hoc justification becomes mandatory for non-strategic demands. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | DEM-001 | Demand ID | demand_id | Unique demand/business-case identifier. | ID / String | {MTR}-DEM-00 | Yes | Both routes | System | System | Unique | Generated on demand creation. | Budget, procurement and project | Internal
Identity | DEM-002 | Demand Title | demand_title | Concise name of the requested outcome/capability. | Text | 200 chars | Yes | Both routes | Manual | Business Requester | 5–200 chars; duplicate search required | Displayed throughout lifecycle. | All downstream records | Internal
Identity | DEM-003 | Demand Type | demand_type | Nature of requested work or purchase. | Enum | Project; Enhancement; License; Equipment; Service; Renewal; Subscription; Study; Emergency; Other | Yes | Both routes | Manual | Business Requester | Other requires description | Controls business-case, procurement and PMO fields. | Budget/procurement | Internal
Identity | DEM-004 | Demand Category | demand_category | Primary technology/service category. | Reference | Service/category taxonomy | Yes | Both routes | Manual | Business Requester | Active category | Routes reviewers and reporting. | Procurement | Internal
Identity | DEM-005 | Demand Subcategory | demand_subcategory | Detailed classification below category. | Reference | Subcategory taxonomy | Yes | Both routes | Manual | Business Requester | Valid child of category | Improves routing and cost analysis. | Procurement | Internal
Identity | DEM-006 | Requesting Department | requesting_department_id | Department raising the request. | Reference | Organization ID | Yes | Both routes | User profile/default | Business Requester | Active department | Ownership and row-level security. | Reporting | Internal
Identity | DEM-007 | Requesting Location / Entity | requesting_location_entity | Site, asset, SPV or entity affected. | Multi Reference | Configured locations/entities | Conditional | Required when location/entity specific | Manual | Business Requester | Active values | Supports allocation and deployment planning. | Budget/procurement | Confidential
Ownership | DEM-008 | Business Requester | requester_user_id | Person preparing the demand. | User Reference | Directory ID | Yes | Both routes | Authenticated user | System/Business Owner | Active user | Receives return tasks. | Workflow | Confidential
Ownership | DEM-009 | Business Owner | business_owner_user_id | Accountable owner of business outcomes and acceptance. | User Reference | Directory ID | Yes | Both routes | Manual | Business Requester/Owner | Active manager/authorized owner | Must attest business case before submission. | Benefits/project | Confidential
Ownership | DEM-010 | Executive Sponsor | executive_sponsor_user_id | Executive champion and escalation owner. | User Reference | Directory ID | Conditional | Required for Project/High/Critical demand | Manual | Business Owner | Active authorized sponsor | Receives key escalations. | Project registration | Confidential
