# 11_Budget Header (38 rows)
Template 7A — Budget Submission Header |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Budget-cycle metadata, consolidated totals, reconciliations and CTO decision package. Detailed cost elements are captured as budget lines. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | BUD-001 | Budget Submission ID | budget_submission_id | Unique budget submission/version header. | ID / String | {MTR}-BUD-FY-V00 | Yes | Budget process | System | System | Unique | Generated for budget cycle/version. | Budget lines, consolidation and approval | Internal
Identity | BUD-002 | Budget Cycle | budget_cycle | Planning cycle being prepared. | Enum/Text | Annual Plan; Reforecast; Special; Multi-year | Yes | Budget process | Configuration/user | Commercial & Budgeting | Open cycle only | Controls periods and versioning. | Reporting | Internal
Identity | BUD-003 | Budget Scenario | budget_scenario | Scenario represented by submission. | Enum | Base; Optimistic; Constrained; Requested; Recommended; Approved | Yes | Budget process | Requested | Commercial & Budgeting | Configured list | Only Approved scenario becomes baseline after CTO decision. | Dashboard | Internal
Identity | BUD-004 | Strategy ID | strategy_id | Associated strategy for strategic route. | Reference | Strategy ID | Conditional | Strategic route | Inherited | System | Approved strategy; same Master ID | Links envelope, objectives and BSC. | BSC | Internal
Identity | BUD-005 | Budget Owner | budget_owner_user_id | Commercial & Budgeting owner accountable for submission. | User Reference | Directory ID | Yes | Budget process | Assignment | Commercial & Budgeting | Active authorized user | Receives validation/revision tasks. | Workflow | Confidential
Period | BUD-006 | Planning Start Fiscal Year | planning_start_fy | First year covered. | Integer | YYYY | Yes | Budget process | Cycle configuration | Commercial & Budgeting | Open year | Generates phasing periods. | Budget lines | Internal
Period | BUD-007 | Planning End Fiscal Year | planning_end_fy | Last year covered. | Integer | YYYY | Yes | Budget process | Cycle configuration | Commercial & Budgeting | >= start year | Defines multi-year envelope. | Budget lines | Internal
Period | BUD-008 | Submission Cut-off | submission_cutoff_at | Deadline used for consolidation completeness. | DateTime | ISO 8601 | Yes | Budget process | Cycle configuration | Commercial & Budgeting | Future/open when cycle launched | Late demand flag and notifications. | Workflow | Internal
Currency | BUD-009 | Base Currency | base_currency | Currency for consolidation and approval. | Enum | ISO 4217 | Yes | Budget process | SAR | Commercial & Budgeting | Active currency | All foreign lines translated to base currency. | Reporting | Internal
Currency | BUD-010 | FX Rate Source / Date | fx_rate_source_date | Approved exchange-rate table/version used. | Reference | Rate set ID + date | Conditional | Any non-base currency line | Finance/integration | Commercial & Budgeting | Rate effective for cycle; not manually overridden without approval | Translation audit. | Budget lines | Confidential
