# 16_Project Registration (58 rows)
Template 9 — PMO Project Registration and Handoff |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Creates the registered project only after traceability, funding, procurement outcome, ownership and minimum-document checks pass. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | PRJ-001 | Project ID | project_id | Unique PMO project identifier. | ID / String | {MTR}-PRJ-00 | Yes | Project-producing outcome | System/PMO sequence | System | Unique | Generated when PMO registers project. | Next lifecycle phase/BSC | Internal
Identity | PRJ-002 | Project Name | project_name | Official project name. | Text | 250 chars | Yes | Registration | Procurement/demand default | PMO/Business Owner | Unique/duplicate check; 5–250 chars | Displayed across PMO systems. | P+/EPMO/reporting | Internal
Identity | PRJ-003 | Demand ID | demand_id | Originating business case. | Reference | Demand ID | Yes | Registration | Procurement item | System | Validated demand; same Master ID | Loads business owner, objectives, scope and benefits. | Traceability | Internal
Identity | PRJ-004 | Procurement Item ID | procurement_item_id | Procurement outcome creating the project. | Reference | Procurement Item ID | Yes | Registration | PMO handoff | System | Project Registration Required = Yes | Loads vendor, contract, dates and values. | Traceability | Internal
Identity | PRJ-005 | Budget Line ID | budget_line_id | Approved funding line. | Reference | Budget Line ID | Yes | Registration | Procurement item | System | Approved/effective | Budget tracking. | Budget/BSC | Internal
Alignment | PRJ-006 | Strategy ID | strategy_id | Associated approved strategy. | Reference | Strategy ID | Conditional | Strategic project | Demand | System | Same Master ID | Strategy performance. | BSC | Internal
Alignment | PRJ-007 | Objective IDs | objective_ids | Objectives to which project contributes. | Multi Reference | Objective IDs | Conditional | Strategic project | Demand | Business Owner/Strategy & Governance | Objectives belong to strategy | Contribution and BSC drill-through. | BSC | Internal
Alignment | PRJ-008 | KPI IDs | kpi_ids | KPIs influenced by project outcomes. | Multi Reference | KPI IDs | Conditional | Strategic project | Demand/benefits | Business Owner/Strategy & Governance | KPIs belong to objectives | Performance linkage. | BSC | Internal
Alignment | PRJ-009 | Objective Contribution Weights | objective_contribution_weights | Project contribution allocation across objectives. | Repeatable Percentage | Objective ID + % | Conditional | Multiple objective links | Manual | Strategy & Governance/PMO | Weights total 100% | Weighted project progress by objective. | BSC | Internal
Classification | PRJ-010 | Project Type | project_type | Business/technology project classification. | Enum | Implementation; Enhancement; Infrastructure; Cybersecurity; Data/Analytics; Digital; Compliance; Study; Other | Yes | Registration | Demand/default | PMO | Configured list | Reporting and governance route. | P+/EPMO | Internal
Classification | PRJ-011 | Project Category / Subcategory | project_category | Portfolio taxonomy classification. | Reference | Portfolio taxonomy | Yes | Registration | Demand/default | PMO | Active values | Portfolio reporting. | P+/EPMO | Internal
Classification | PRJ-012 | Delivery Approach | delivery_approach | Expected delivery method. | Enum | Waterfall; Agile; Hybrid; Procurement-led; Other | Yes | Registration | Demand/default | PMO | Selection assessment/evidence required | Controls next-phase templates and governance. | P+/EPMO | Internal
Classification | PRJ-013 | Complexity Rating | complexity_rating | Project complexity under approved model. | Enum/Score | Low; Medium; High; Major / score | Yes | Registration | Assessment | PMO | Approved scoring model/version | Determines governance intensity. | P+/EPMO | Internal
Classification | PRJ-014 | Priority | project_priority | Portfolio priority inherited/revalidated. | Enum | Critical; High; Medium; Low | Yes | Registration | Demand/budget | PMO/Business Owner | Changes require rationale | Portfolio sequencing. | P+/EPMO | Internal
Ownership | PRJ-015 | Project Sponsor | project_sponsor_user_id | Executive accountable for project sponsorship and decisions. | User Reference | Directory ID | Yes | Registration | Demand sponsor | Business Owner/PMO | Active authorized user | Governance and escalation. | P+/EPMO | Confidential
Ownership | PRJ-016 | Business Owner | business_owner_user_id | Accountable owner of requirements, acceptance and benefits. | User Reference | Directory ID | Yes | Registration | Demand | System/PMO | Active user | Preserves demand accountability. | P+/EPMO | Confidential
Ownership | PRJ-017 | Project Manager | project_manager_user_id | Assigned project delivery manager. | User Reference | Directory ID | Conditional | Required before next phase begins | Assignment | PMO | Active/eligible user | Receives project workflow. | P+/EPMO | Confidential
Ownership | PRJ-018 | Technology Owner | technology_owner_user_id | Accountable technical/service owner. | User Reference | Directory ID | Yes | Registration | Demand | PMO/Business Owner | Active user | Technical decisions and transition. | P+/EPMO | Confidential
Ownership | PRJ-019 | Operating Owner | operating_owner_unit_id | Unit accepting ongoing operational accountability. | Reference | Organization ID | Yes | Registration | Demand | PMO/Business Owner | Owner acceptance recorded | Transition and benefits. | P+/EPMO | Internal
Ownership | PRJ-020 | Vendor / Delivery Partner | vendor_id | Contracted external delivery party. | Reference | Vendor ID | Conditional | External contract | Procurement item | System | Matches award/contract | Supplier reporting. | P+/SAP | Confidential
Definition | PRJ-021 | Project Purpose / Business Need | project_purpose | Concise approved problem and intended outcome. | Long Text | 2,000 chars | Yes | Registration | Demand | PMO/Business Owner | Must not materially expand approved demand | Project charter seed. | P+/EPMO | Confidential
Definition | PRJ-022 | High-Level Scope In | project_scope_in | Approved project scope. | Long Text | 3,000 chars | Yes | Registration | Demand/procurement scope | PMO/Business Owner | Differences require change/reference | Project charter and baseline. | P+/EPMO | Confidential
Definition | PRJ-023 | High-Level Scope Out | project_scope_out | Explicit exclusions. | Long Text | 2,000 chars | Yes | Registration | Demand | PMO/Business Owner | No contradiction | Project charter. | P+/EPMO | Confidential
Definition | PRJ-024 | High-Level Deliverables | project_deliverables | Deliverables to be baselined in planning. | Repeatable Text | Deliverable + owner + acceptance | Yes | Registration | Demand/procurement | PMO/Business Owner | At least one; aligns to contract | Project charter/workplan. | P+/EPMO | Confidential
Definition | PRJ-025 | Acceptance Criteria | project_acceptance_criteria | Business/contract acceptance criteria. | Repeatable Criterion | ID + criterion + verifier | Yes | Registration | Demand/procurement | Business Owner/PMO | Measurable and assigned | Project closure readiness. | P+/EPMO | Confidential
Benefits | PRJ-026 | Expected Benefits | project_benefit_ids | Approved demand benefits owned by project. | Multi Reference | Benefit IDs | Yes | Registration | Demand | System/Business Owner | At least one benefit or approved non-benefit project exception | Benefits realization. | P+/BSC | Confidential
