# 08_KPI Updates (32 rows)
Template 4 — KPI Periodic Performance Update |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Append-only periodic actuals, evidence, data-quality controls and management commentary. Validated records drive the balanced scorecard. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | KPU-001 | KPI Update ID | kpi_update_id | Unique KPI-period performance record. | ID / String | {KPI}-YYYYMM | Yes | Active KPI period | System | System | Unique KPI + period + approved version | One validated record per KPI/period; corrections create versions. | BSC | Internal
Identity | KPU-002 | KPI ID | kpi_id | Applicable KPI definition. | Reference | KPI ID | Yes | Active KPI period | System/selected | Data Steward | KPI active in period | Loads definition, target, unit, polarity and thresholds. | BSC | Internal
Period | KPU-003 | Reporting Period Start | period_start_date | Start of measurement period. | Date | yyyy-mm-dd | Yes | All updates | System from calendar | System | Aligned to frequency | Part of unique period key. | BSC | Internal
Period | KPU-004 | Reporting Period End | period_end_date | End of measurement period. | Date | yyyy-mm-dd | Yes | All updates | System from calendar | System | >= start; not overlapping same KPI period | Controls due dates and aggregation. | BSC | Internal
Period | KPU-005 | Submission Due Date | submission_due_date | Deadline for source value submission. | Date | yyyy-mm-dd | Yes | All updates | System derived | System | Period end + KPI offset | Overdue status when no submission by deadline. | Workflow | Internal
Target | KPU-006 | Period Target | period_target | Approved target applicable to this reporting period. | Decimal | Per KPI | Yes | All updates | KPI target profile | System | Uses definition version effective in period | Locked after period creation except approved target revision. | BSC | Internal
Actual | KPU-007 | Actual Value | actual_value | Validated performance result. | Decimal/Text | Per KPI | Yes | Submission | Manual/import/calculated | Data Steward/Integration | Type, unit and valid range per KPI | Cannot be blank on submission unless exception is approved. | BSC | Confidential
Actual | KPU-008 | Numerator Actual | numerator_actual | Period numerator for ratio KPIs. | Decimal | Per KPI | Conditional | Ratio/percentage formula | Manual/import | Data Steward/Integration | Must reconcile to actual formula | Stored for audit and aggregation. | KPI calculation | Confidential
Actual | KPU-009 | Denominator Actual | denominator_actual | Period denominator for ratio KPIs. | Decimal | Per KPI | Conditional | Ratio/percentage formula | Manual/import | Data Steward/Integration | Cannot be zero unless exception | Stored for audit and ratio-of-sums aggregation. | KPI calculation | Confidential
Actual | KPU-010 | Previous Period Actual | previous_actual | Latest validated prior-period actual. | Decimal/Text | Per KPI | No | Prior period exists | System derived | System | Same KPI | Read-only comparison. | Trend | Internal
Calculation | KPU-011 | Variance to Target | variance_to_target | Actual minus target, presented with polarity-aware interpretation. | Decimal | Per KPI | No | Numeric KPI | System derived | System | Formula = actual - target | Numeric variance remains raw; favorable flag uses polarity. | BSC | Internal
Calculation | KPU-012 | Achievement Percentage | achievement_pct | Target achievement under KPI polarity. | Percentage | 0.0% | No | Numeric KPI | System derived | System | Capped by KPI score cap; zero/negative edge cases configured | Higher better: actual/target; lower better: target/actual; range/binary per KPI rule. | BSC | Internal
Calculation | KPU-013 | Weighted KPI Score | weighted_kpi_score | Achievement multiplied by KPI weight. | Decimal | 0.0–100.0 | No | Validated actual | System derived | System | Achievement cap applied | Achievement % × KPI weight % × 100. | Objective score | Internal
Calculation | KPU-014 | RAG Status | kpi_rag | Status from actual and KPI thresholds. | Enum | Green; Amber; Red; Not Rated | No | Actual available | System derived | System/controlled override | Threshold and polarity rules | Calculated automatically. | BSC | Internal
Calculation | KPU-015 | Trend | trend_direction | Direction versus previous validated period. | Enum | Improving; Stable; Deteriorating; Not Available | No | Prior period exists | System derived | System | Tolerance configured per KPI | Polarity-aware comparison. | Dashboard | Internal
Forecast | KPU-016 | Forecast Value | forecast_value | Forecast result for next/annual target period. | Decimal/Text | Per KPI | No | Forecasting enabled | Manual/model | KPI Owner | Same unit as KPI | Separate from actual and clearly labeled. | Dashboard | Confidential
Forecast | KPU-017 | Forecast Target Outcome | forecast_target_status | Forecast probability/status of achieving target. | Enum | Likely; At Risk; Unlikely; Achieved; Not Assessed | No | Active KPI | Manual | KPI Owner | At Risk/Unlikely requires action | Management overlay. | Dashboard | Internal
Evidence | KPU-018 | Source Extract Timestamp | source_extract_at | Timestamp of source data used. | DateTime | ISO 8601 UTC | Yes | All actuals | Manual/integration | Data Steward/Integration | <= submission timestamp | Data freshness control. | Audit | Internal
Evidence | KPU-019 | Source Reference | source_reference | Report, query, dataset or transaction reference. | Text | 500 chars | Yes | All actuals | Manual/integration | Data Steward | Must match KPI source definition | Lineage. | Sources | Confidential
Evidence | KPU-020 | Evidence Attachment | evidence_attachment_id | Supporting export or signed evidence. | Reference | Attachment ID | Conditional | Manual/file-based KPI or exception | Manual | Data Steward | Allowed types/size and virus scan | Locked with validated update. | Audit | Confidential
Quality | KPU-021 | Completeness Result | dq_completeness_result | Outcome of completeness controls. | Enum | Pass; Warning; Fail | Yes | All updates | System/validator | System/Data Validator | Critical fail blocks validation | Part of data-quality status. | BSC | Internal
Quality | KPU-022 | Accuracy Result | dq_accuracy_result | Outcome of accuracy/reconciliation controls. | Enum | Pass; Warning; Fail | Yes | All updates | System/validator | System/Data Validator | Critical fail blocks validation | Part of data-quality status. | BSC | Internal
Quality | KPU-023 | Timeliness Result | dq_timeliness_result | Whether data met the submission deadline. | Enum | Pass; Warning; Fail | Yes | All updates | System derived | System | Based on due date and submission time | Part of data-quality status. | Dashboard | Internal
Quality | KPU-024 | Overall Data Quality | data_quality_status | Consolidated data-quality disposition. | Enum | Pass; Conditional Pass; Fail | Yes | All updates | System/validator | Data Validator | No unresolved critical failure | Fail prevents use in approved scorecard. | BSC | Internal
Commentary | KPU-025 | Performance Commentary | performance_commentary | Explanation of result and variance. | Long Text | 2,000 chars | Conditional | Required for Amber/Red, warning/fail or material variance | Manual | KPI Owner | Cause, impact and outlook required | One-page report/drill-through. | Confidential | Internal
Action | KPU-026 | Corrective Action | corrective_action | Recovery action for underperformance. | Long Text | 1,500 chars | Conditional | Red/At Risk/Unlikely | Manual | KPI Owner | Owner and due date required | Feeds management action tracker. | Dashboard | Confidential
Action | KPU-027 | Action Owner | action_owner_user_id | Person accountable for corrective action. | User Reference | Directory ID | Conditional | Corrective action entered | Manual | KPI Owner | Active user | Receives reminders. | Workflow | Confidential
Action | KPU-028 | Action Due Date | action_due_date | Deadline for corrective action. | Date | yyyy-mm-dd | Conditional | Corrective action entered | Manual | KPI Owner | >= current date at creation | Overdue action is surfaced. | Dashboard | Internal
Validation | KPU-029 | Validation Decision | validation_decision | Disposition of KPI actual by authorized validator. | Enum | Pending; Validated; Returned; Rejected | Yes | After submission | Pending | Data Validator | Comment mandatory for Returned/Rejected | Validated value becomes scorecard source; changes create version. | BSC and audit | Internal
