# 15_Procurement Updates (35 rows)
Template 8B — Procurement Execution Status Update |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Append-only milestone history supporting status, value, delay, evidence and budget/BSC integration. Current item state is derived from validated updates. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | PSU-001 | Status Update ID | procurement_update_id | Unique append-only procurement progress event. | ID / String | {PRI}-UPD-000 | Yes | Execution | System | System | Unique | Created for each committed status/milestone update. | Procurement item current state | Internal
Identity | PSU-002 | Procurement Item ID | procurement_item_id | Parent item. | Reference | Procurement Item ID | Yes | Execution | Context | System | Active item | Foreign-key enforced. | Budget/project/BSC | Internal
Status | PSU-003 | Previous Stage | previous_stage | Stage before update. | Enum | Procurement stage list | Yes | Execution | System | System | Matches prior current stage | Audit of transition. | Workflow | Internal
Status | PSU-004 | New Stage | new_stage | Stage after update. | Enum | Procurement stage list | Yes | Execution | Manual/workflow | Commercial & Budgeting/Integration | Allowed transition only | Updates item current stage after validation. | Dashboard | Internal
Status | PSU-005 | Overall Status | overall_status | Health/terminal status at update. | Enum | Not Started; On Track; At Risk; Delayed; On Hold; Completed; Cancelled | Yes | Execution | Manual/derived | Commercial & Budgeting | Reason required for exception/terminal | Updates current status. | Dashboard | Internal
Status | PSU-006 | Update Date/Time | update_at | Timestamp status became effective. | DateTime | ISO 8601 UTC | Yes | Execution | System/manual effective date | Commercial & Budgeting/Integration | >= previous update; not future without forecast flag | Orders status history. | Cycle time | Internal
Status | PSU-007 | Progress Percentage | progress_pct | Weighted milestone completion after update. | Percentage | 0.0% | Yes | Execution | System/manual | Commercial & Budgeting | Cannot decrease without correction reason; 100 only at completion | Updates item progress. | BSC | Internal
Milestone | PSU-008 | Milestone Code | milestone_code | Milestone achieved/updated. | Reference | Configured milestone | Conditional | Milestone update | Manual/integration | Commercial & Budgeting | Applicable to method/item type | Milestone weight drives progress. | Dashboard | Internal
Milestone | PSU-009 | Planned Milestone Date | planned_milestone_date | Baseline date for milestone. | Date | yyyy-mm-dd | Conditional | Milestone update | Procurement plan | System | Read-only baseline | Schedule variance. | Dashboard | Internal
Milestone | PSU-010 | Actual Milestone Date | actual_milestone_date | Actual completion date. | Date | yyyy-mm-dd | Conditional | Milestone completed | Manual/integration | Commercial & Budgeting | Cannot precede applicable prior milestone without reason | Cycle time/variance. | Dashboard | Internal
Milestone | PSU-011 | Milestone Variance Days | milestone_variance_days | Actual/forecast minus planned date. | Integer | Days | No | Dates available | System derived | System | Signed integer | Positive = late. | Dashboard | Internal
SAP | PSU-012 | Purchase Requisition ID | purchase_requisition_id | SAP/ERP PR identifier. | Reference | PR number | Conditional | PR created | SAP integration | System/Integration | Unique in source system | Links procurement transaction. | SAP | Confidential
SAP | PSU-013 | PR Status | purchase_requisition_status | Latest source PR status. | Enum | Source-system values mapped to canonical status | Conditional | PR exists | SAP integration | System | Mapped value required | Drives procurement stage where configured. | Dashboard | Internal
SAP | PSU-014 | Tender / RFx ID | rfx_id | Sourcing event identifier. | Reference | RFx number | Conditional | RFx created | Procurement system | System/Integration | Unique in source | Drill-through. | Procurement | Confidential
SAP | PSU-015 | Award ID | award_id | Award/selection decision identifier. | Reference | Award number | Conditional | Award approved | Procurement system | System/Integration | Unique in source | Evidence of award milestone. | Procurement | Confidential
SAP | PSU-016 | Purchase Order ID | purchase_order_id | SAP/ERP PO identifier. | Reference | PO number | Conditional | PO issued | SAP integration | System | Unique in source | Creates commitment value. | SAP/budget | Confidential
Contract | PSU-017 | Contract ID | contract_id | Signed contract identifier. | Reference | Contract number | Conditional | Contract required/signed | Contract/SAP system | System/Integration | Unique in source | Loads contract dates/value/vendor. | Project registration | Confidential
Value | PSU-018 | Award / Commitment Value | commitment_value | Committed transaction-currency value. | Currency | #,##0.00 | Conditional | Award/PO/contract | Source system | System/Commercial & Budgeting | >=0; currency required | Updates item and budget commitments. | Budget | Confidential
Value | PSU-019 | Commitment Value SAR | commitment_value_sar | SAR translated commitment. | Currency | SAR #,##0 | Conditional | Commitment exists | System derived | System | Approved FX basis | Budget committed amount. | Budget/BSC | Confidential
Value | PSU-020 | Invoiced Value SAR | invoiced_value_sar | Cumulative accepted/posted invoice value. | Currency | SAR #,##0 | No | Invoices exist | SAP | System | 0 to contract/PO plus approved changes | Actual cost tracking. | Budget | Confidential
Value | PSU-021 | Paid Value SAR | paid_value_sar | Cumulative paid amount. | Currency | SAR #,##0 | No | Payments exist | SAP | System | 0 to invoiced unless advance/prepayment classified | Cash status. | Dashboard | Confidential
Value | PSU-022 | Forecast Final Value SAR | forecast_final_value_sar | Latest expected total commitment/cost. | Currency | SAR #,##0 | Yes | Execution | Manual/model | Commercial & Budgeting | >= committed/invoiced as applicable | Updates EAC and value variance. | Budget/BSC | Confidential
Delivery | PSU-023 | Delivered Quantity | delivered_quantity | Cumulative quantity delivered. | Decimal | #,##0.00 | No | Goods/licenses delivered | Manual/integration | Commercial & Budgeting/Business Owner | 0 to ordered plus approved change | Delivery progress. | Dashboard | Confidential
Delivery | PSU-024 | Accepted Quantity / Value | accepted_quantity_value | Cumulative formally accepted quantity/value. | Structured Numeric | Quantity + SAR value | No | Acceptance performed | Manual/integration | Business Owner | Cannot exceed delivered/committed without change | Completion and project handoff. | BSC | Confidential
Forecast | PSU-025 | Forecast Completion Date | forecast_completion_date | Latest forecast final delivery/acceptance. | Date | yyyy-mm-dd | Yes | Active item | Manual | Commercial & Budgeting | >= current date unless complete | Schedule variance and outlook. | Dashboard | Internal
Exception | PSU-026 | Delay / Exception Reason | exception_reason | Root cause of at-risk, delayed, on-hold, cancelled or backward transition. | Long Text | 1,500 chars | Conditional | Exception status or variance beyond threshold | Manual | Commercial & Budgeting | Cause category and narrative required | Executive exception reporting. | Dashboard | Confidential
Exception | PSU-027 | Impact Assessment | impact_assessment | Impact on budget, scope, strategy/KPI and required-by date. | Long Text | 1,500 chars | Conditional | Exception status | Manual | Commercial & Budgeting/Business Owner | All four dimensions addressed | Escalation and BSC narrative. | Dashboard | Confidential
Action | PSU-028 | Corrective Action | corrective_action | Recovery/mitigation action. | Long Text | 1,500 chars | Conditional | At Risk/Delayed/On Hold | Manual | Commercial & Budgeting | Owner and due date required | Action monitoring. | Dashboard | Confidential
Action | PSU-029 | Action Owner | action_owner_user_id | Accountable recovery owner. | User Reference | Directory ID | Conditional | Corrective action exists | Manual | Commercial & Budgeting | Active user | Notifications. | Workflow | Confidential
Action | PSU-030 | Action Due Date | action_due_date | Recovery due date. | Date | yyyy-mm-dd | Conditional | Corrective action exists | Manual | Commercial & Budgeting | >= update date | Overdue action indicator. | Dashboard | Internal
Evidence | PSU-031 | Evidence Attachments | evidence_attachment_ids | Supporting PR/RFx/award/PO/contract/delivery/acceptance evidence. | Multi Reference | Attachment IDs | Conditional | Per milestone/terminal status | Manual/integration | Commercial & Budgeting | Required document types by milestone | Audit and PMO handoff. | Audit | Confidential
Approval | PSU-032 | Update Validation Status | update_validation_status | Validation of manual/high-impact update. | Enum | Not Required; Pending; Validated; Returned | Yes | Status update | Rule/workflow | Commercial Reviewer/Business Owner | High-value/terminal milestones require validation | Only validated update changes controlled current state. | Workflow | Internal
