# 07_KPI Register (45 rows)
Template 3 — KPI Definition Register |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Defines the governed KPI once. Periodic actuals are captured separately so historical reporting remains stable. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Identity | KPI-001 | KPI ID | kpi_id | Unique KPI definition identifier. | ID / String | {MTR}-KPI-00 | Yes | Strategic route | System | System | Unique | Generated on creation. | KPI updates and BSC | Internal
Identity | KPI-002 | Parent Objective | objective_id | Objective measured by the KPI. | Reference | Objective ID | Yes | Strategic route | Manual | Strategy & Governance | Same strategy and Master ID | Foreign-key enforced. | BSC | Internal
Definition | KPI-003 | KPI Name | kpi_name | Short, unique KPI title. | Text | 200 chars | Yes | Strategic route | Manual | Strategy & Governance | Unique within strategy; 5–200 chars | Displayed in scorecard. | BSC and dashboard | Internal
Definition | KPI-004 | Business Definition | kpi_definition | Unambiguous statement of what is measured and why. | Long Text | 2,000 chars | Yes | Strategic route | Manual | Strategy & Governance | Minimum 50 characters | Controls consistent reporting. | Data steward and report | Confidential
Definition | KPI-005 | Measurement Purpose | measurement_purpose | Decision or behavior supported by the KPI. | Long Text | 1,000 chars | Yes | Strategic route | Manual | Strategy & Governance | Minimum 20 characters | Helps prevent vanity metrics. | Governance | Internal
Classification | KPI-006 | KPI Type | kpi_type | Result or driver classification. | Enum | Outcome; Output; Process; Input; Risk; Compliance | Yes | Strategic route | Manual | Strategy & Governance | Configured list | Reporting analysis. | Power BI | Internal
Classification | KPI-007 | Indicator Timing | indicator_timing | Leading or lagging indicator. | Enum | Leading; Lagging | Yes | Strategic route | Manual | Strategy & Governance | Configured list | Scorecard balance analysis. | BSC | Internal
Classification | KPI-008 | Performance Polarity | performance_polarity | Whether higher, lower or exact-range performance is desirable. | Enum | Higher is Better; Lower is Better; Target Range; Binary | Yes | Strategic route | Manual | Strategy & Governance | Configured list | Controls achievement and RAG formulas. | KPI calculation | Internal
Measurement | KPI-009 | Unit of Measure | unit_of_measure | Unit in which actual and target are expressed. | Enum/Text | % ; SAR; Days; Count; Index; Score; Other | Yes | Strategic route | Manual | Strategy & Governance | Other requires unit label | Formats scorecard values. | BSC | Internal
Measurement | KPI-010 | Decimal Precision | decimal_precision | Number of decimals displayed and accepted. | Integer | 0–4 | Yes | Numeric KPI | 1 | Strategy & Governance | 0 to 4 | Applied to target, actual and variance. | Reports | Internal
Calculation | KPI-011 | Calculation Formula | calculation_formula | Human-readable formula using defined source fields. | Long Text | 2,000 chars | Yes | Strategic route | Manual | Strategy & Governance/Data Steward | Must reference defined components; no ambiguous terms | Stored as governed definition, not executable code unless separately configured. | KPI calculation | Confidential
Calculation | KPI-012 | Numerator Definition | numerator_definition | Numerator and inclusions/exclusions where ratio-based. | Long Text | 1,000 chars | Conditional | Required for ratio/percentage KPI | Manual | Data Steward | Must align to formula | Used in update validation. | KPI update | Confidential
Calculation | KPI-013 | Denominator Definition | denominator_definition | Denominator and inclusions/exclusions where ratio-based. | Long Text | 1,000 chars | Conditional | Required for ratio/percentage KPI | Manual | Data Steward | Cannot be zero for reported periods | Used in update validation. | KPI update | Confidential
Calculation | KPI-014 | Aggregation Method | aggregation_method | How period values roll up. | Enum | Sum; Average; Weighted Average; Latest; Minimum; Maximum; Ratio of Sums; Custom | Yes | Strategic route | Manual | Strategy & Governance/Data Steward | Custom requires rule | Controls quarterly/annual aggregation. | BSC | Internal
Calculation | KPI-015 | Cumulative Flag | is_cumulative | Whether the KPI accumulates across the fiscal year. | Boolean | True/False | Yes | Strategic route | False | Strategy & Governance | Must align with aggregation | Controls YTD display. | Dashboard | Internal
Baseline | KPI-016 | Baseline Value | baseline_value | Validated starting performance value. | Decimal | Per KPI precision | Yes | Strategic route | Manual/import | Data Steward | Numeric or configured binary value | Reference for improvement calculation. | BSC | Internal
Baseline | KPI-017 | Baseline Period | baseline_period | Period represented by the baseline. | Period | YYYY-MM or FY | Yes | Strategic route | Manual | Data Steward | Before/at strategy start | Supports audit of baseline. | BSC | Internal
Baseline | KPI-018 | Baseline Source | baseline_source | System/report/evidence supporting the baseline. | Reference/Text | Source + report + extract date | Yes | Strategic route | Manual | Data Steward | Evidence attachment or URL required | Audit trail. | Sources | Confidential
Targets | KPI-019 | Target Setting Method | target_setting_method | Method used to establish targets. | Enum | Executive Commitment; Benchmark; Trend; Regulatory; Model; Baseline Improvement | Yes | Strategic route | Manual | Strategy & Governance | Configured list; rationale required | Target governance. | Approval pack | Internal
Targets | KPI-020 | Target Rationale | target_rationale | Evidence and rationale for target ambition. | Long Text | 1,500 chars | Yes | Strategic route | Manual | Strategy & Governance | Minimum 50 characters | Included in CTO review. | Approval pack | Confidential
Targets | KPI-021 | Target Profile | target_profile | Period-specific targets across the KPI horizon. | Repeatable Decimal | Period + target | Yes | Strategic route | Manual/import | Strategy & Governance | No missing active reporting period | Creates update due schedule and expected values. | KPI updates/BSC | Internal
Targets | KPI-022 | Stretch Target | stretch_target | Optional aspirational performance level. | Decimal | Per KPI precision | No | If stretch scoring is used | Manual | Strategy & Governance | Must be more ambitious than target based on polarity | Optional capped bonus scoring. | BSC | Internal
Thresholds | KPI-023 | Green Threshold | green_threshold | Boundary for Green status. | Decimal/Range | Per KPI | Yes | Strategic route | Manual | Strategy & Governance | Consistent with polarity and target | RAG calculation. | BSC | Internal
Thresholds | KPI-024 | Amber Threshold | amber_threshold | Boundary/range for Amber status. | Decimal/Range | Per KPI | Yes | Strategic route | Manual | Strategy & Governance | No overlap/gap with Green/Red | RAG calculation. | BSC | Internal
